paragraph,paragraphIndex,section
"Ryoko Shiraishi (白石 涼子, Shiraishi Ryōko, born September 7, 1982) is a Japanese voice actress and singer from Kashiba, Nara. She is affiliated with Aoni Production. Possessing a husky voice, Shiraishi voices young to teenage men as well as young girls and teenage women. However, in a break from tradition, one of her most famous roles is the brash and hot-headed Asuka Kazama, who is noted for speaking with a strong Osaka accent, which is one of Shiraishi's specialist skills. She was also formerly a member of the voice acting unit Drops, along with Ai Nonaka, Akemi Kanda, Tomoko Kaneda, and Mariko Kōda. Shiraishi married on September 6, 2012, but divorced in 2013.
",0,N/A
"== Filmography ==
",1,== Filmography ==
"Dragon Ball Super (2017), Sanka Ku, Shantza
",93,== Filmography == | === Television animation ===
"Beyblade Burst Turbo (2018), Free De La Hoya
",94,== Filmography == | === Television animation ===
"Forest of Piano (2018), Kai Ichinose (young)
",95,== Filmography == | === Television animation ===
"Yu-Gi-Oh! VRAINS (2018), Haru
",96,== Filmography == | === Television animation ===
"Girly Air Force (2019), Rhino
",97,== Filmography == | === Television animation ===
"Demon Slayer: Kimetsu no Yaiba (2019), Spider Demon (older sister)
",98,== Filmography == | === Television animation ===
"The Life Extra (2019), Riki Shimizu And Maruta
",99,== Filmography == | === Television animation ===
"Digimon Adventure: (2020), Sora Takenouchi
",100,== Filmography == | === Television animation ===
"Pokémon Master Journeys: The Series (2021), Asahi
",101,== Filmography == | === Television animation ===
"World Trigger 2nd Season (2021), Yomi
",102,== Filmography == | === Television animation ===
"Yashahime: Princess Half-Demon (2021), Yawaragi
",103,== Filmography == | === Television animation ===
"To Your Eternity (2021), Gugu (child)
",104,== Filmography == | === Television animation ===
"One Piece (2021), Bao Huang
",105,== Filmography == | === Television animation ===
"=== Original net animation (ONA) ===
",106,== Filmography == | === Original net animation (ONA) ===
"Beyblade Burst Surge(2020), Free De La Hoya
",107,== Filmography == | === Original net animation (ONA) ===
"Beyblade Burst Dynamite Battle (2021), Free De La Hoya
",108,== Filmography == | === Original net animation (ONA) ===
"Busou Shinki Moon Angel, Zelnogrard
",109,== Filmography == | === Original net animation (ONA) ===
"Fastening Days, Kei
",110,== Filmography == | === Original net animation (ONA) ===
"Powerful Pro Yakyū Powerful Kōkō-hen, Pawapro
",111,== Filmography == | === Original net animation (ONA) ===
"Star Wars: Visions - The Twins (2021), Am
",112,== Filmography == | === Original net animation (ONA) ===
"=== Original video animation (OVA) ===
",113,== Filmography == | === Original video animation (OVA) ===
"Air Gear: Kuro no Hane to Nemuri no Mori, Akito / Agito Wanijima
",114,== Filmography == | === Original video animation (OVA) ===
"Dogs: Bullets & Carnage, Mimi
",115,== Filmography == | === Original video animation (OVA) ===
"Hayate the Combat Butler, Hayate Ayasaki
",116,== Filmography == | === Original video animation (OVA) ===
"Hellsing Ultimate, Schrödinger
",117,== Filmography == | === Original video animation (OVA) ===
"Hotori: Tada Saiwai o Koinegau, Suzu
",118,== Filmography == | === Original video animation (OVA) ===
"Naisho no Tsubomi, Daiki Nemoto
",119,== Filmography == | === Original video animation (OVA) ===
"Negima!?, Kaede Nagase
",120,== Filmography == | === Original video animation (OVA) ===
"Pinky:St, Ran
",121,== Filmography == | === Original video animation (OVA) ===
"Senran Kagura: Estival Versus – Festival Eve Full of Swimsuits, Hikage
",122,== Filmography == | === Original video animation (OVA) ===
"Sky Girls, Takumi Hayami
",123,== Filmography == | === Original video animation (OVA) ===
"Zan Sayonara, Zetsubou Sensei Bangaichi, Tane Kitsu
",124,== Filmography == | === Original video animation (OVA) ===
"The Day Naruto Became Hokage, Chocho Akimichi
",125,== Filmography == | === Original video animation (OVA) ===
"=== Theatrical animation ===
",126,== Filmography == | === Theatrical animation ===
"Break Blade 4: Sanka no Chi, Nike
",127,== Filmography == | === Theatrical animation ===
"Break Blade 5: Shisen no Hate, Nike
",128,== Filmography == | === Theatrical animation ===
"Buddha Saitan, Amanokawa Shunta
",129,== Filmography == | === Theatrical animation ===
"Cinnamon the Movie, Espresso
",130,== Filmography == | === Theatrical animation ===
"Doraemon: Nobita and the Birth of Japan 2016, Kukuru
",131,== Filmography == | === Theatrical animation ===
"Fafner in the Azure: Heaven and Earth, Rina Nishio
",132,== Filmography == | === Theatrical animation ===
"Farewell, My Dear Cramer: First Touch, Junpei Onda
",133,== Filmography == | === Theatrical animation ===
"Happy-Go-Lucky Days, Shin-chan's mother
",134,== Filmography == | === Theatrical animation ===
"Hayate the Combat Butler! Heaven Is a Place on Earth, Hayate Ayasaki
",135,== Filmography == | === Theatrical animation ===
"Inazuma Eleven GO vs. Danbōru Senki W, Asuka Kojō
",136,== Filmography == | === Theatrical animation ===
"Odoru Pokémon Himitsu Kichi, Whismur
",137,== Filmography == | === Theatrical animation ===
"Pocket Monsters Advanced Generation the Movie: Deoxys, the Visitor from a Fissure in the Sky, Haruka's Beautifly
",138,== Filmography == | === Theatrical animation ===
"Pocket Monsters Advanced Generation the Movie: The Wishing Star of Seven Nights: Jirachi, Pokémon Tachi
",139,== Filmography == | === Theatrical animation ===
"Towa no Quon, Yuri
",140,== Filmography == | === Theatrical animation ===
"=== Video games ===
",141,== Filmography == | === Video games ===
"Armored Hunter Gunhound EX, Juliane Yuri
",142,== Filmography == | === Video games ===
"Arknights, Cliffheart, Fang
",143,== Filmography == | === Video games ===
"Black Matrix OO, Cain
",144,== Filmography == | === Video games ===
"Clannad, Kappei Hiiragi
",145,== Filmography == | === Video games ===
"Crash Fever, Darwin
",146,== Filmography == | === Video games ===
"Corpse Seed 3, Ayumu Asuka
",147,== Filmography == | === Video games ===
"Corpse Seed 3: Heartclub Extreme, Ayumu Asuka
",148,== Filmography == | === Video games ===
"Corpse Seed 4, Ayumu Asuka
",149,== Filmography == | === Video games ===
"Corpse Seed 4: Endless Brawl, Ayumu Asuka
",150,== Filmography == | === Video games ===
"Digimon World Re:Digitize, Taiga
",151,== Filmography == | === Video games ===
"Dead or Alive
",152,== Filmography == | === Video games ===
"Dead or Alive 5, Mila
",153,== Filmography == | === Video games ===
"Dead or Alive 6, Mila
",154,== Filmography == | === Video games ===
"Dragon Ball Xenoverse, Time Patroller (Female 6)
",155,== Filmography == | === Video games ===
"Dragon Ball Xenoverse 2, Time Patroller
",156,== Filmography == | === Video games ===
"Final Fantasy
",157,== Filmography == | === Video games ===
"Final Fantasy Type-0, Rem Tokimiya
",158,== Filmography == | === Video games ===
"Final Fantasy Type-0 HD, Rem Tokimiya
",159,== Filmography == | === Video games ===
"Dissidia Final Fantasy Opera Omnia, Rem Tokimiya
",160,== Filmography == | === Video games ===
"Granblue Fantasy, Loki, Societte
",161,== Filmography == | === Video games ===
"Gunvolt Chronicles: Luminous Avenger iX, Stella
",162,== Filmography == | === Video games ===
"J-Stars Victory VS, Hime ""Himeko"" Onizuka
",163,== Filmography == | === Video games ===
"JoJo's Bizarre Adventure: All Star Battle, Foo Fighters (F.F.)
",164,== Filmography == | === Video games ===
"JoJo's Bizarre Adventure: Eyes of Heaven, Foo Fighters (F.F.)
",165,== Filmography == | === Video games ===
"Luminous Arc 2: Will, Pip
",166,== Filmography == | === Video games ===
"Mamorukun Curse!, Mamoru Tomoka
",167,== Filmography == | === Video games ===
"Memories Off 5 The Unfinished Film, Ayumu Kise
",168,== Filmography == | === Video games ===
"New Little King's Story, Princess Iris
",169,== Filmography == | === Video games ===
"Naruto Shippuden: Ultimate Ninja Storm 3, Fū
",170,== Filmography == | === Video games ===
"Nier, Devola & Popola
",171,== Filmography == | === Video games ===
"Nier: Automata, Devola & Popola
",172,== Filmography == | === Video games ===
"Rogue Galaxy, Chie, Young Jaster
",173,== Filmography == | === Video games ===
"Rune Factory 3, Mais
",174,== Filmography == | === Video games ===
"Samurai Warriors 4, Koshōshō
",175,== Filmography == | === Video games ===
"Senran Kagura series:
",176,== Filmography == | === Video games ===
"Senran Kagura: Shojo-tachi no Shin'ei, Hikage
",177,== Filmography == | === Video games ===
"Senran Kagura Burst: Guren no Shojo-tachi, Hikage
",178,== Filmography == | === Video games ===
"Senran Kagura Shinovi Versus: Shojo-tachi no Shomei, Hikage
",179,== Filmography == | === Video games ===
"Shin Sakura Wars, Komachi Ohba
",180,== Filmography == | === Video games ===
"Shining Blade, Yukihime
",181,== Filmography == | === Video games ===
"Sonic Unleashed, Chip/Light Gaia
",182,== Filmography == | === Video games ===
"Sunday VS Magazine: Shuuketsu! Choujou Daikessen!, Hayate Ayasaki
",183,== Filmography == | === Video games ===
"Super Robot Wars UX, Rina Nishio, Hurricane
",184,== Filmography == | === Video games ===
"Tales of Legendia, Jay
",185,== Filmography == | === Video games ===
"Tales of Xillia, Sylph
",186,== Filmography == | === Video games ===
"Tekken series:
",187,== Filmography == | === Video games ===
"Tekken 5, Asuka Kazama
",188,== Filmography == | === Video games ===
"Tekken 5: Dark Resurrection, Asuka Kazama
",189,== Filmography == | === Video games ===
"Tekken 6, Asuka Kazama
",190,== Filmography == | === Video games ===
"Tekken 6: Bloodline Rebellion, Asuka Kazama
",191,== Filmography == | === Video games ===
"Tekken Tag Tournament 2, Asuka Kazama
",192,== Filmography == | === Video games ===
"Tekken Tag Tournament 2 Unlimited, Asuka Kazama
",193,== Filmography == | === Video games ===
"Tekken Tag Tournament 2: Wii U Edition, Asuka Kazama
",194,== Filmography == | === Video games ===
"Tekken 3D: Prime Edition, Asuka Kazama
",195,== Filmography == | === Video games ===
"Tekken Revolution, Asuka Kazama
",196,== Filmography == | === Video games ===
"Tekken 7, Asuka Kazama and Kazuya (young)
",197,== Filmography == | === Video games ===
"Tekken 7: Fated Retribution, Asuka Kazama
",198,== Filmography == | === Video games ===
"Until Dawn (Japanese dub), Sam (Hayden Panettiere)
",199,== Filmography == | === Video games ===
"Wild Arms 4, Jude Maverick
",200,== Filmography == | === Video games ===
"Wrestle Angels: Survivor, Tomomi Watanabe & Shiho Kobayakawa
",201,== Filmography == | === Video games ===
"Xenoblade Chronicles X, Avatar
",202,== Filmography == | === Video games ===
"Yakuza series
",203,== Filmography == | === Video games ===
"Yakuza 5, Mai Sanada
",204,== Filmography == | === Video games ===
"Yakuza Kiwami, Saya Date
",205,== Filmography == | === Video games ===
"=== Tokusatsu ===
",206,== Filmography == | === Tokusatsu ===
"Kishiryu Sentai Ryusoulger (2019), Kleon
",207,== Filmography == | === Tokusatsu ===
"=== Dubbing roles ===
",208,== Filmography == | === Dubbing roles ===
"==== Live-action ====
",209,== Filmography == | ==== Live-action ====
"Miley Cyrus
",210,== Filmography == | ==== Live-action ====
"Hannah Montana, Miley Stewart/Hannah Montana
",211,== Filmography == | ==== Live-action ====
"Hannah Montana: The Movie, Miley Stewart/Hannah Montana
",212,== Filmography == | ==== Live-action ====
"The Suite Life on Deck: Wizards on Deck with Hannah Montana, Hannah Montana
",213,== Filmography == | ==== Live-action ====
"The Last Song, Veronica ""Ronnie"" Miller
",214,== Filmography == | ==== Live-action ====
"Sex and the City 2, Miley Cyrus
",215,== Filmography == | ==== Live-action ====
"The Night Before, Miley Cyrus
",216,== Filmography == | ==== Live-action ====
"Amelia, Elinor Smith (Mia Wasikowska)
",217,== Filmography == | ==== Live-action ====
"Antwone Fisher, Antwone Fisher (age 7) (Malcolm David Kelley)
",218,== Filmography == | ==== Live-action ====
"August Rush, Evan Taylor/August Rush (Freddie Highmore)
",219,== Filmography == | ==== Live-action ====
"Awakening the Zodiac, Zoe Branson (Leslie Bibb)
",220,== Filmography == | ==== Live-action ====
"Back to the Future (2014 BS Japan edition), Jennifer Parker (Claudia Wells)
",221,== Filmography == | ==== Live-action ====
"Bad Genius, Lynn (Chutimon Chuengcharoensukying)
",222,== Filmography == | ==== Live-action ====
"Bel Ami, Kim Bo-tong (IU)
",223,== Filmography == | ==== Live-action ====
"Brain Games, Kristen Bell
",224,== Filmography == | ==== Live-action ====
"The Butler, Carol Hammie (Yaya DaCosta)
",225,== Filmography == | ==== Live-action ====
"Clouds, Sammy Brown (Sabrina Carpenter)
",226,== Filmography == | ==== Live-action ====
"Crouching Tiger, Hidden Dragon: Sword of Destiny, Mantis (Ngô Thanh Vân)
",227,== Filmography == | ==== Live-action ====
"Dark Shadows, Carolyn Stoddard (Chloë Grace Moretz)
",228,== Filmography == | ==== Live-action ====
"The Darkest Minds, Ruby Daly (Amandla Stenberg)
",229,== Filmography == | ==== Live-action ====
"Devil's Pass, Holly King (Holly Goss)
",230,== Filmography == | ==== Live-action ====
"Down in the Valley, Lonnie (Rory Culkin)
",231,== Filmography == | ==== Live-action ====
"Duma, Xan (Alexander Michaeletos)
",232,== Filmography == | ==== Live-action ====
"Eddie's Million Dollar Cook-Off, Oliver (Daniel Costello)
",233,== Filmography == | ==== Live-action ====
"Edge of Winter, Caleb Baker (Percy Hynes White)
",234,== Filmography == | ==== Live-action ====
"Ender's Game, Valentine Wiggin (Abigail Breslin)
",235,== Filmography == | ==== Live-action ====
"EuroTrip, Bert Thomas (Nial Iskhakov)
",236,== Filmography == | ==== Live-action ====
"Fifty Shades of Grey, Anastasia ""Ana"" Steele (Dakota Johnson)
",237,== Filmography == | ==== Live-action ====
"Fifty Shades Darker, Anastasia ""Ana"" Steele (Dakota Johnson)
",238,== Filmography == | ==== Live-action ====
"Fifty Shades Freed, Anastasia ""Ana"" Steele (Dakota Johnson)
",239,== Filmography == | ==== Live-action ====
"The Fighting Temptations, Dean (Darrell Vanterpool)
",240,== Filmography == | ==== Live-action ====
"The Final Cut, Alan Hickman (young) (Casey Dubois)
",241,== Filmography == | ==== Live-action ====
"Flatliners, Courtney Holmes (Ellen Page)
",242,== Filmography == | ==== Live-action ====
"Footloose, Ariel Moore (Julianne Hough)
",243,== Filmography == | ==== Live-action ====
"Foyle's War episode ""A War of Nerves"", Gwen Rivers (Joanna Horton)
",244,== Filmography == | ==== Live-action ====
"Frailty, Adam (young) (Jeremy Sumpter)
",245,== Filmography == | ==== Live-action ====
"Free Solo, Sanni McCandless
",246,== Filmography == | ==== Live-action ====
"Glee, Sunshine Corazon (Charice)
",247,== Filmography == | ==== Live-action ====
"The Good Doctor, Dr. Claire Brown (Antonia Thomas)
",248,== Filmography == | ==== Live-action ====
"Good Luck Chuck, Charles ""Chuck"" Logan (young) (Connor Price)
",249,== Filmography == | ==== Live-action ====
"The Great Gatsby, Daisy Buchanan (Carey Mulligan)
",250,== Filmography == | ==== Live-action ====
"The Guest, Anna Peterson (Maika Monroe)
",251,== Filmography == | ==== Live-action ====
"Halo: Nightfall, Macer (Christina Chong)
",252,== Filmography == | ==== Live-action ====
"Happiest Season, Abby (Kristen Stewart)
",253,== Filmography == | ==== Live-action ====
"Home Alone: The Holiday Heist, Finn Baxter (Christian Martyn)
",254,== Filmography == | ==== Live-action ====
"If I Stay, Mia Hall (Chloë Grace Moretz)
",255,== Filmography == | ==== Live-action ====
"The Impossible, Thomas Bennett (Samuel Joslin)
",256,== Filmography == | ==== Live-action ====
"Inception (2012 TV Asahi edition), Ariadne (Ellen Page)
",257,== Filmography == | ==== Live-action ====
"Indiana Jones and the Temple of Doom (2009 WOWOW edition), Short Round (Jonathan Ke Quan)
",258,== Filmography == | ==== Live-action ====
"It Follows, Jaime ""Jay"" Height (Maika Monroe)
",259,== Filmography == | ==== Live-action ====
"Jumanji: Welcome to the Jungle, Ruby Roundhouse (Karen Gillan)
",260,== Filmography == | ==== Live-action ====
"Kung Fu Dunk, Li-li (Charlene Choi)
",261,== Filmography == | ==== Live-action ====
"Kyle XY, Lori Trager (April Matson)
",262,== Filmography == | ==== Live-action ====
"Ladder 49, Nicky Morrison (Spencer Berglund)
",263,== Filmography == | ==== Live-action ====
"The Leftovers, Jill Garvey (Margaret Qualley)
",264,== Filmography == | ==== Live-action ====
"The Longshots, Jasmine Plummer (Keke Palmer)
",265,== Filmography == | ==== Live-action ====
"The Lost Daughter, Nina (Dakota Johnson)
",266,== Filmography == | ==== Live-action ====
"The Meddler, Jillian (Cecily Strong)
",267,== Filmography == | ==== Live-action ====
"Men in Black II, Elizabeth (Chloe Sonnenfeld)
",268,== Filmography == | ==== Live-action ====
"Merlin, Mordred (young) (Asa Butterfield)
",269,== Filmography == | ==== Live-action ====
"Olympus Has Fallen, Connor Asher (Finley Jacobson)
",270,== Filmography == | ==== Live-action ====
"Pan Am, Colette Valois (Karine Vanasse)
",271,== Filmography == | ==== Live-action ====
"Piranha 3D, Danni (Kelly Brook)
",272,== Filmography == | ==== Live-action ====
"The Possession, Emily ""Em"" Brenek (Natasha Calis)
",273,== Filmography == | ==== Live-action ====
"Quantum of Solace (2016 BS Japan edition), Camille Montes (Olga Kurylenko)
",274,== Filmography == | ==== Live-action ====
"Ringer, Juliet Martin (Zoey Deutch)
",275,== Filmography == | ==== Live-action ====
"Save Haven, Katie Feldman/Erin Tierney (Julianne Hough)
",276,== Filmography == | ==== Live-action ====
"Seoul Station, Hye-sun (Shim Eun-kyung)
",277,== Filmography == | ==== Live-action ====
"Shameless, Tami Tamietti (Kate Miner)
",278,== Filmography == | ==== Live-action ====
"Snake Eyes, Major O'Hara / Scarlett (Samara Weaving)
",279,== Filmography == | ==== Live-action ====
"Soccer Dog: European Cup, Mickey (Eric Don)
",280,== Filmography == | ==== Live-action ====
"Step Up, Nora Clark (Jenna Dewan)
",281,== Filmography == | ==== Live-action ====
"Table 19, Eloise McGarry (Anna Kendrick)
",282,== Filmography == | ==== Live-action ====
"Terra Nova, Maddy Shannon (Naomi Scott)
",283,== Filmography == | ==== Live-action ====
"Uncharted, Jo Braddock (Tati Gabrielle)
",284,== Filmography == | ==== Live-action ====
"Underdog, Molly (Taylor Momsen)
",285,== Filmography == | ==== Live-action ====
"The Vampire Diaries, Anna (Malese Jow)
",286,== Filmography == | ==== Live-action ====
"Vincent N Roxxy, Roxxy (Zoë Kravitz)
",287,== Filmography == | ==== Live-action ====
"When Good Ghouls Go Bad, Ryan Kankle (Craig Marriott)
",288,== Filmography == | ==== Live-action ====
"Witches of East End, Freya Beauchamp (Jenna Dewan)
",289,== Filmography == | ==== Live-action ====
"The Wolf of Wall Street, Naomi Lapaglia (Margot Robbie)
",290,== Filmography == | ==== Live-action ====
"Yellowjackets, Jackie (Ella Purnell)
",291,== Filmography == | ==== Live-action ====
"==== Animation ====
",292,== Filmography == | ==== Animation ====
"101 Dalmatian Street, Dolly
",293,== Filmography == | ==== Animation ====
"The Adventures of Jimmy Neutron: Boy Genius, Jimmy Neutron
",294,== Filmography == | ==== Animation ====
"Bolt, Penny
",295,== Filmography == | ==== Animation ====
"Home, Gratuity ""Tip"" Tucci
",296,== Filmography == | ==== Animation ====
"Ice Age: Collision Course, Brooke
",297,== Filmography == | ==== Animation ====
"Jimmy Neutron: Boy Genius, Jimmy Neutron
",298,== Filmography == | ==== Animation ====
"Maya & Miguel, Maya Santos
",299,== Filmography == | ==== Animation ====
"Meet the Robinsons, Lewis
",300,== Filmography == | ==== Animation ====
"Tom and Jerry: Blast Off to Mars, Peep
",301,== Filmography == | ==== Animation ====
"Tom and Jerry's Giant Adventure, Jack
",302,== Filmography == | ==== Animation ====
"Trese, Alexandra Trese
",303,== Filmography == | ==== Animation ====
"Mechamato, Pian
",304,== Filmography == | ==== Animation ====
"== Notes ==
",305,== Notes ==
"== References ==
",306,== References ==
"== External links ==
",307,== External links ==
"Official agency profile at Aoni Production (in Japanese)
",308,== External links ==
Ryoko Shiraishi  at Anime News Network's encyclopedia,309,== External links ==
