time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1970,CD,YEAR_REGEX_1,TIME,time_reference,"While studying at L.I.U, instructor Michael Carvin secured Waits a spot in the percussion ensemble M'Boom, started by drummer Max Roach and Freddie Waits, in 1970.",3,1,,28365521,1970-01-01,1970-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Equality (Fresh Sound Records, 2008)",0,4,== Selected discography == | === As a leader ===,28365521,2008-01-01,2008-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Ten (Blue Note, 2010)",0,21,== Selected discography == | === As sideman ===,28365521,2010-01-01,2010-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"All Rise: A Joyful Elegy for Fats Waller (Blue Note, 2014)",0,22,== Selected discography == | === As sideman ===,28365521,2014-01-01,2014-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Thanksgiving at The Vanguard (Yes, 2017)",0,23,== Selected discography == | === As sideman ===,28365521,2017-01-01,2017-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Looks of a Lot (Yes, 2018)With others",0,24,== Selected discography == | === As sideman ===,28365521,2018-01-01,2018-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Rob Brown, Unknown Skies (RogueArt, 2011)",0,25,== Selected discography == | === As sideman ===,28365521,2011-01-01,2011-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Avishai Cohen, Into the Silence (ECM, 2016), Cross My Palm with Silver (ECM, 2017)",0,26,== Selected discography == | === As sideman ===,28365521,2016-01-01,2016-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Avishai Cohen, Into the Silence (ECM, 2016), Cross My Palm with Silver (ECM, 2017)",0,26,== Selected discography == | === As sideman ===,28365521,2017-01-01,2017-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Steve Davis, Meant to Be (Criss Cross, 2004)",0,27,== Selected discography == | === As sideman ===,28365521,2004-01-01,2004-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Dave Douglas, Spirit Moves (Greenleaf, 2009)",0,28,== Selected discography == | === As sideman ===,28365521,2009-01-01,2009-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Dave Douglas, United Front: Brass Ecstasy at Newport (Greenleaf, 2011)",0,29,== Selected discography == | === As sideman ===,28365521,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Dave Douglas, Rare Metal (Greenleaf, 2011)",0,30,== Selected discography == | === As sideman ===,28365521,2011-01-01,2011-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Orrin Evans, Blessed Ones (Criss Cross, 2001)",0,31,== Selected discography == | === As sideman ===,28365521,2001-01-01,2001-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Eddie Gómez, Palermo (Jazzeyes, 2007)",0,32,== Selected discography == | === As sideman ===,28365521,2007-01-01,2007-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Bunky Green, Another Place (Label Bleu, 2004 [2006])",0,33,== Selected discography == | === As sideman ===,28365521,2004-01-01,2004-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Bunky Green, Another Place (Label Bleu, 2004 [2006])",0,33,== Selected discography == | === As sideman ===,28365521,2006-01-01,2006-12-31,ML
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,"Fred Hersch, Night and the Music (Palmetto, 2007)",0,34,== Selected discography == | === As sideman ===,28365521,,,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Fred Hersch, Night and the Music (Palmetto, 2007)",0,34,== Selected discography == | === As sideman ===,28365521,2007-01-01,2007-12-31,ML
Day,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Andrew Hill, A Beautiful Day (Palmetto, 2002)",0,35,== Selected discography == | === As sideman ===,28365521,,,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Andrew Hill, A Beautiful Day (Palmetto, 2002)",0,35,== Selected discography == | === As sideman ===,28365521,2002-01-01,2002-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Ethan Iverson, The Purity of the Turf (Criss Cross Jazz, 2016)",0,36,== Selected discography == | === As sideman ===,28365521,2016-01-01,2016-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Igor Lumpert, Innertextures live (Clean Feed, 2012)",0,37,== Selected discography == | === As sideman ===,28365521,2012-01-01,2012-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Tony Malaby, Tamarindo (Clean Feed, 2007)",0,38,== Selected discography == | === As sideman ===,28365521,2007-01-01,2007-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Tony Malaby, Somos Agua (Clean Feed, 2014)",0,39,== Selected discography == | === As sideman ===,28365521,2014-01-01,2014-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Tony Malaby, Palomo Recio (Clean Feed, 2016)",0,40,== Selected discography == | === As sideman ===,28365521,2016-01-01,2016-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Christian McBride, Christian McBride's New Jawn (Mack Avenue, 2018)",0,41,== Selected discography == | === As sideman ===,28365521,2018-01-01,2018-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"David Murray, Be My Monster Love (Motéma, 2013)",0,42,== Selected discography == | === As sideman ===,28365521,2013-01-01,2013-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Armen Nalbandian, Quiet As It's Kept (Blacksmith Brother Music, 2011)",0,43,== Selected discography == | === As sideman ===,28365521,2011-01-01,2011-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Armen Nalbandian, The Holy Ghost (Blacksmith Brother Music, 2018)",0,44,== Selected discography == | === As sideman ===,28365521,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Armen Nalbandian, Fire Sign (Blacksmith Brother Music, 2018)",0,45,== Selected discography == | === As sideman ===,28365521,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"I (Blacksmith Brother Music, 2018)",1,46,== Selected discography == | === As sideman ===,28365521,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Armen Nalbandian, Live in Little Tokyo Vol. II (Blacksmith Brother Music, 2018)",0,47,== Selected discography == | === As sideman ===,28365521,2018-01-01,2018-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Armen Nalbandian, Ghosts (Blacksmith Brother Music, 2019)",0,48,== Selected discography == | === As sideman ===,28365521,2019-01-01,2019-12-31,ML
Sunset,NNP,DAY_TIME_REGEX,TIME,time_reference,"Armen Nalbandian, Live on Sunset (Blacksmith Brother Music, 2019)",0,49,== Selected discography == | === As sideman ===,28365521,,,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Armen Nalbandian, Live on Sunset (Blacksmith Brother Music, 2019)",0,49,== Selected discography == | === As sideman ===,28365521,2019-01-01,2019-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Luis Perdomo, Awareness (RKM, 2007)",0,50,== Selected discography == | === As sideman ===,28365521,2007-01-01,2007-12-31,ML
Days,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Mark Turner, Dharma Days (Warner Bros., 2001)",0,51,== Selected discography == | === As sideman ===,28365521,,,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Mark Turner, Dharma Days (Warner Bros., 2001)",0,51,== Selected discography == | === As sideman ===,28365521,2001-01-01,2001-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Anthony Wonsey, Open the Gates (Criss Cross, 1999)",0,52,== Selected discography == | === As sideman ===,28365521,1999-01-01,1999-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Bojan Z, Transpacifik (Label Bleu, 2003)",0,53,== Selected discography == | === As sideman ===,28365521,2003-01-01,2003-12-31,ML
