time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
5 June 1967,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Josh Roseman (born 5 June 1967) is an American jazz trombonist.,0,0,,19046752,1967-06-05,1967-06-05,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Cherry (Enja, 2000)",0,5,== Discography == | === As leader ===,19046752,2000-01-01,2000-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"John Escreet, Sabotage and Celebration (Whirlwind, 2013)",0,49,== Discography == | === As sideman ===,19046752,2013-01-01,2013-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Either/Orchestra, Across the Omniverse (Accurate, 1996)",0,50,== Discography == | === As sideman ===,19046752,1996-01-01,1996-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,"Either/Orchestra, Dial E (Accurate, 1986)",0,51,== Discography == | === As sideman ===,19046752,1986-01-01,1986-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Laïka Fatien, Nebula (Verve, 2011)",0,52,== Discography == | === As sideman ===,19046752,2011-01-01,2011-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Majek Fashek, So Long Too Long (Sony, 1991)",0,53,== Discography == | === As sideman ===,19046752,1991-01-01,1991-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Majek Fashek, Spirit of Love (Interscope, 1991)",0,54,== Discography == | === As sideman ===,19046752,1991-01-01,1991-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Mitchell Froom, Dopamine (Atlantic, 1998)",0,55,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Dave Holland, What Goes Around (ECM, 2002)",0,57,== Discography == | === As sideman ===,19046752,2002-01-01,2002-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Dave Holland, Overtime (Dare2, 2004)",0,58,== Discography == | === As sideman ===,19046752,2004-01-01,2004-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Charlie Hunter, Charlie Hunter (Blue Note, 2000)",0,59,== Discography == | === As sideman ===,19046752,2000-01-01,2000-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"(Victor, 2004)",3,60,== Discography == | === As sideman ===,19046752,2004-01-01,2004-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"Oliver Lake, Otherside (Gramavision, 1988)",0,61,== Discography == | === As sideman ===,19046752,1988-01-01,1988-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Oliver Lake, Cloth (Passin' Thru, 2003)",0,62,== Discography == | === As sideman ===,19046752,2003-01-01,2003-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Sean Lennon, Into the Sun (Grand Royal, 1998)",0,63,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Sean Lennon, Half Horse Half Musician (Grand Royal, 1999)",0,64,== Discography == | === As sideman ===,19046752,1999-01-01,1999-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Arto Lindsay, Noon Chill (Bar/None, 1998)",0,65,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"La Woman (Warner Bros., 1996)",1,66,== Discography == | === As sideman ===,19046752,1996-01-01,1996-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Cibo Matto, Stereo Type A (Warner Bros., 1999)",0,67,== Discography == | === As sideman ===,19046752,1999-01-01,1999-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Barney McAll, Widening Circles (Aija, 1998)",0,68,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Barney Mcall, Mother of Dreams and Secrets (Research, 2018)",0,69,== Discography == | === As sideman ===,19046752,2018-01-01,2018-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Medeski Martin & Wood, It's a Jungle in Here (Gramavision, 1993)",0,70,== Discography == | === As sideman ===,19046752,1993-01-01,1993-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Anais Mitchell, Hadestown (Righteous Babe, 2010)",0,71,== Discography == | === As sideman ===,19046752,2010-01-01,2010-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Jason Moran, All Rise: A Joyful Elegy for Fats Waller (Blue Note, 2014)",0,72,== Discography == | === As sideman ===,19046752,2014-01-01,2014-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Meshell Ndegeocello, The Spirit Music Jamia (Universal/EmArcy, 2005)",0,73,== Discography == | === As sideman ===,19046752,2005-01-01,2005-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Jeb Loy Nichols, Lovers Knot (Capitol, 1997)",0,74,== Discography == | === As sideman ===,19046752,1997-01-01,1997-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"No Trend, More (Morphius, 2001)",0,75,== Discography == | === As sideman ===,19046752,2001-01-01,2001-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Papa Dee, Original Master (Telegram Stockholm 1994)",0,76,== Discography == | === As sideman ===,19046752,1994-01-01,1994-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Ned Rothenberg, Power Lines (New World, 1995)",0,77,== Discography == | === As sideman ===,19046752,1995-01-01,1995-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Roswell Rudd, Broad Strokes (Knitting Factory, 2000)",0,78,== Discography == | === As sideman ===,19046752,2000-01-01,2000-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Roswell Rudd, Trombone Tribe (Sunnyside, 2009)",0,79,== Discography == | === As sideman ===,19046752,2009-01-01,2009-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Seatbelts, Cowboy Bebop: No Disc (Victor, 1998)",0,80,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Seatbelts, Cowboy Bebop: Vitaminless (Victor, 1998)",0,81,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Ron Sexsmith, Other Songs (Interscope, 1997)",0,82,== Discography == | === As sideman ===,19046752,1997-01-01,1997-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"SFJAZZ Collective, Inaugural Season Live 2004 (SFJAZZ, 2004)",0,83,== Discography == | === As sideman ===,19046752,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"SFJAZZ Collective, SFJazz Collective (Nonesuch, 2005)",0,84,== Discography == | === As sideman ===,19046752,2005-01-01,2005-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Sheryl Crow, Sheryl Crow (A&M, 1996)",0,85,== Discography == | === As sideman ===,19046752,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Shinji Takeda, Abstract Jazz Lounge (Nite Grooves, 1996)",0,86,== Discography == | === As sideman ===,19046752,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Towa Tei, Sound Museum (Elektra, 1997)",0,87,== Discography == | === As sideman ===,19046752,1997-01-01,1997-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Bill Ware, Long and Skinny (Knitting Factory, 1993)",0,88,== Discography == | === As sideman ===,19046752,1993-01-01,1993-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"John Zorn, Cobra: John Zorn's Game Pieces Volume 2 (Tzadik, 2002)",0,89,== Discography == | === As sideman ===,19046752,2002-01-01,2002-12-31,ML
"Mons , 1993","NNP , CD",WEEK_ABBR_REGEX COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_reference,"John Gordon, Live in Concert (Mons, 1993)",0,56,== Discography == | === As sideman ===,19046752,1993-01-01,1993-12-31,LLM
Winter,NNP,SEASON_REGEX,TIME,time_reference,"Urlicht / Primal Light (Winter & Winter, 1997)",0,13,== Discography == | === As sideman ===,19046752,,,ML
Winter,NNP,SEASON_REGEX,TIME,time_reference,"The Sidewalks of New York: Tin Pan Alley (Winter & Winter, 1999)",0,14,== Discography == | === As sideman ===,19046752,,,ML
Winter,NNP,SEASON_REGEX,TIME,time_reference,"The Goldberg Variations (Winter & Winter, 2000)With Dave Douglas",0,15,== Discography == | === As sideman ===,19046752,,,ML
the Sun,DT NNP,PREFIX_REGEX_1 WEEK_ABBR_REGEX,MODIFIER TIME,time_reference,"Sean Lennon, Into the Sun (Grand Royal, 1998)",0,63,== Discography == | === As sideman ===,19046752,,,ML
Noon,NNP,DAY_TIME_REGEX,TIME,time_reference,"Arto Lindsay, Noon Chill (Bar/None, 1998)",0,65,== Discography == | === As sideman ===,19046752,,,ML
Nite,NNP,DAY_TIME_REGEX,TIME,time_reference,"Shinji Takeda, Abstract Jazz Lounge (Nite Grooves, 1996)",0,86,== Discography == | === As sideman ===,19046752,,,ML
