time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 5 , 1982","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Choi Whee-sung (Korean: 최휘성; born February 5, 1982), known professionally as Wheesung or by the stage name Realslow, is a South Korean R&B singer, record producer, and musical theatre actor.",0,0,,1666975,1982-02-05,1982-02-05,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,1982:,1,2,== Career == | === 1982: Early life and education ===,1666975,1982-01-01,1982-12-31,ML
late 2008,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In late 2008, Wheesung has collaborated once again with Lee Hyori who featured as his girlfriend in his music video of ""별이 지다..""",1,10,== Career == | === 2006–2009: Orange Shock Agency ===,1666975,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, Wheesung seeks help from producer Lee Hyun-do, they will collaborate to produce the new album which the release date has been set in August 2009.",3,10,== Career == | === 2006–2009: Orange Shock Agency ===,1666975,2009-01-01,2009-12-31,ML
August 2009,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In 2009, Wheesung seeks help from producer Lee Hyun-do, they will collaborate to produce the new album which the release date has been set in August 2009.",3,10,== Career == | === 2006–2009: Orange Shock Agency ===,1666975,2009-08-01,2009-08-31,ML
2009–2011,CD,YEAR_REGEX_1,TIME,time_reference,2009–2011: POP/UP Entertainment =,1,11,== Career == | === 2009–2011: POP/UP Entertainment ===,1666975,2009-01-01,2011-12-31,ML
April 2009,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In April 2009, Wheesung is the MC/host of a new Mnet TV show called ""Pre Star-1 Show.",0,12,== Career == | === 2009–2011: POP/UP Entertainment ===,1666975,2009-04-01,2009-04-30,ML
"June 19 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On June 19, 2009, Wheesung and Lena Park held a concert in Los Angeles Disney Concert Hall.",1,13,== Career == | === 2009–2011: POP/UP Entertainment ===,1666975,2009-06-19,2009-06-19,ML
August 2009,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,The new album is set to be released in August 2009.,4,13,== Career == | === 2009–2011: POP/UP Entertainment ===,1666975,2009-08-01,2009-08-31,ML
June 2009,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In June 2009, Wheesung changed his label again from Orange Shock to POP/UP Entertainment, which houses stars like JK Kim Dong Wook and group M to M. Wheesung has decided to change his label because former producer, Park Gun Tae, concentrated more on producing and working by himself.",0,14,== Career == | === 2009–2011: POP/UP Entertainment ===,1666975,2009-06-01,2009-06-30,ML
2011–2016,CD,YEAR_REGEX_1,TIME,time_reference,2011–2016: YMC Entertainment and Military service =,1,15,== Career == | === 2011–2016: YMC Entertainment and Military service ===,1666975,2011-01-01,2016-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, he transferred to Tae Jin Ah's YMC Entertainment.",0,16,== Career == | === 2011–2016: YMC Entertainment and Military service ===,1666975,2011-01-01,2011-12-31,ML
"November 7 , 2011","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On November 7, 2011, he enlisted for mandatory military service.",2,16,== Career == | === 2011–2016: YMC Entertainment and Military service ===,1666975,2011-11-07,2011-11-07,ML
"July 11 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On July 11, 2012, Wheesung was granted a 9 nights, 10 days temporary leave from the army to undergo surgery for a herniated disc as well as other medical conditions such as bilateral shoulders dislocation, psoriasis and alopecia.",4,16,== Career == | === 2011–2016: YMC Entertainment and Military service ===,1666975,2012-07-11,2012-07-11,ML
"August 9 , 2013","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"August 9, 2013, Wheesung was discharged from the military.",5,16,== Career == | === 2011–2016: YMC Entertainment and Military service ===,1666975,2013-08-09,2013-08-09,ML
2017–present,CD,YEAR_REGEX_1,TIME,time_reference,2017–present:,1,17,== Career == | === 2017–present: Realslow Company and new stage name ===,1666975,2017-01-01,,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"In 2017, Wheesung parted ways with YMC Entertainment after his contract with the agency came to an end.",0,18,== Career == | === 2017–present: Realslow Company and new stage name ===,1666975,2017-01-01,2017-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,Wheesung gained attention in the early 2000s as an underground musician before he debuted in 2002.,3,18,== Career == | === 2017–present: Realslow Company and new stage name ===,1666975,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,Like a Movie (2002),0,21,== Discography == | === Studio albums ===,1666975,2002-01-01,2002-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,It's Real (2003),0,22,== Discography == | === Studio albums ===,1666975,2003-01-01,2003-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,For the Moment (2004),0,23,== Discography == | === Studio albums ===,1666975,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,(2005),2,24,== Discography == | === Studio albums ===,1666975,2005-01-01,2005-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Eternal Essence of Music (2007),0,25,== Discography == | === Studio albums ===,1666975,2007-01-01,2007-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Vocolate (2009),0,26,== Discography == | === Studio albums ===,1666975,2009-01-01,2009-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,With All My Heart and Soul (2008),0,28,== Discography == | === Mini albums ===,1666975,2008-01-01,2008-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,They Are Coming (2011),0,29,== Discography == | === Mini albums ===,1666975,2011-01-01,2011-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,The Best Man (2014),0,30,== Discography == | === Mini albums ===,1666975,2014-01-01,2014-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,Transformation (2016),0,31,== Discography == | === Mini albums ===,1666975,2016-01-01,2016-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,In Space (2018),0,32,== Discography == | === Mini albums ===,1666975,2018-01-01,2018-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014: Zorro as Zorro,0,36,== Filmography == | === Musical ===,1666975,2014-01-01,2014-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016: All Shook Up as Elvis,0,37,== Filmography == | === Musical ===,1666975,2016-01-01,2016-12-31,ML
2017–2018,CD,YEAR_REGEX_1,TIME,time_reference,2017–2018: All Shook Up as Elvis,0,38,== Filmography == | === Musical ===,1666975,2017-01-01,2018-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,40,== Filmography == | === Variety shows ===,1666975,2009-01-01,2009-12-31,ML
2017–2018,CD,YEAR_REGEX_1,TIME,time_reference,"2017–2018: tvN, My English Puberty, (나의영어 사춘기), E1-E8",0,41,== Filmography == | === Variety shows ===,1666975,2017-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,2018:,0,42,== Filmography == | === Variety shows ===,1666975,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,2018:,0,43,== Filmography == | === Variety shows ===,1666975,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"2018: tvN, A Battle of One Voice: 300, (하나의 목소리 전쟁: 300), E3、5",0,44,== Filmography == | === Variety shows ===,1666975,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,2018:,0,45,== Filmography == | === Variety shows ===,1666975,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,2018:,0,46,== Filmography == | === Variety shows ===,1666975,2018-01-01,2018-12-31,ML
July 11,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On July 11, he performed at the HALO nightclub in Hollywood.",7,13,== Career == | === 2009–2011: POP/UP Entertainment ===,1666975,2022-07-11,2022-07-11,LLM
June 27 and July 4,NNP CD CC NNP CD,MONTH_REGEX DIGIT_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL MODIFIER TIME NUMERAL,time_reference,"On June 27 and July 4, Wheesung performed at ""Insomnia Concert"" and club Le Cercle in LA.",6,13,== Career == | === 2009–2011: POP/UP Entertainment ===,1666975,2022-06-27,2022-07-04,LLM
April 24,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,Wheesung's Pre-Show 1 Show’ started airing on April 24 on Mnet Cable Channel.,4,12,== Career == | === 2009–2011: POP/UP Entertainment ===,1666975,2022-04-24,2022-04-24,LLM
year,NN,TIME_UNIT_REGEX,TIME,time_reference,He began singing in his senior year.,2,3,== Career == | === 1982: Early life and education ===,1666975,,,ML
the Sun,DT NNP,PREFIX_REGEX_1 WEEK_ABBR_REGEX,MODIFIER TIME,time_reference,"He initially attended the Sun Moon University, under the journalism major but dropped out.",3,3,== Career == | === 1982: Early life and education ===,1666975,,,ML
a few years,DT JJ NNS,INARTICLE_REGEX PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,He underwent a few years of vocal training under the label and released his first solo album Like A Movie in 2002.,1,7,== Career == | === 2000–2006: Solo Debut and YG Entertainment ===,1666975,,,ML
Every month,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,Every month about nine or ten teams will be introduced on Mnet.com and the team which receives most response from the netizens will be chosen onto the show.,2,12,== Career == | === 2009–2011: POP/UP Entertainment ===,1666975,,,ML
a month,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"After the concert, Wheesung planned to stay in Los Angeles for a month to work on his new album with producer Lee Hyun-do.",2,13,== Career == | === 2009–2011: POP/UP Entertainment ===,1666975,,,ML
21 months,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"He served 21 months of active service after completing five-week of basic training course at a boot camp in Nonsan, South Chungcheong Province.",3,16,== Career == | === 2011–2016: YMC Entertainment and Military service ===,1666975,,,ML
a 9 nights,DT CD NNS,INARTICLE_REGEX DIGIT_REGEX_1 DAY_TIME_REGEX,MODIFIER NUMERAL TIME,time_reference,"On July 11, 2012, Wheesung was granted a 9 nights, 10 days temporary leave from the army to undergo surgery for a herniated disc as well as other medical conditions such as bilateral shoulders dislocation, psoriasis and alopecia.",4,16,== Career == | === 2011–2016: YMC Entertainment and Military service ===,1666975,,,ML
now,RB,TIMELINE_REGEX,TIME,time_reference,"He set up an independent label called Realslow Company, and he will now be promoting under the stage name Realslow.",1,18,== Career == | === 2017–present: Realslow Company and new stage name ===,1666975,,,ML
the early 2000s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,Wheesung gained attention in the early 2000s as an underground musician before he debuted in 2002.,3,18,== Career == | === 2017–present: Realslow Company and new stage name ===,1666975,,,ML
the Moment,DT NNP,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,For the Moment (2004),0,23,== Discography == | === Studio albums ===,1666975,,,ML
