time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"July 9 , 1984","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Yumi Shizukusa (滴草 由実, Shizukusa Yumi, born on July 9, 1984) is a Japanese R&B and pop singer.",0,0,,50038741,1984-07-09,1984-07-09,ML
2002–2003,CD,YEAR_REGEX_1,TIME,time_reference,2002–2003: Audition and success,1,2,== History == | === 2002–2003: Audition and success ===,50038741,2002-01-01,2003-12-31,ML
"July 22 , 2015","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On July 22, 2015, she released her 6th studio album ""BLUE"", which was acclaimed by critics.",0,24,"== History == | === 2015–2017: ""BLUE"" and ""Rouge"" ===",50038741,2015-07-22,2015-07-22,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"On Marc 22, 2017 she released her 7th studio album ""Rouge"".",2,24,"== History == | === 2015–2017: ""BLUE"" and ""Rouge"" ===",50038741,2017-01-01,2017-12-31,ML
"July 31 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On July 31, 2018, she provided music Wanna Be Loved for the image movie of the women's luxury brand ""Elza Winkler"".",0,26,== History == | === 2018-2021: First Art Exhibition and YouTube Live Stream ===,50038741,2018-07-31,2018-07-31,ML
October 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In October 2019, two paintings were officially exhibited at the art festival ""Salon Art Shopping Paris"" held at the Carrousel du Louvre in the Louvre Museum in Paris, France.",0,27,== History == | === 2018-2021: First Art Exhibition and YouTube Live Stream ===,50038741,2019-10-01,2019-10-31,ML
November 2020,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In November 2020, she held first YouTube live stream Atelier Music Room on the Being Inc.'s Official YouTube channel.",0,28,== History == | === 2018-2021: First Art Exhibition and YouTube Live Stream ===,50038741,2020-11-01,2020-11-30,ML
March 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Since March 2021, her name disappeared from the Being's official website and her paintings are no longer available for the sale on the Being's portal site.",0,29,== History == | === 2018-2021: First Art Exhibition and YouTube Live Stream ===,50038741,2021-03-01,2021-03-31,ML
June 11,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On June 11, she released her first compilation album ""#10-story: best of Yumi Shizukusa"".",0,22,== History == | === 2013–2014: Comeback in the music scene ===,50038741,2022-06-11,2022-06-11,LLM
DAY,NNP,TIME_UNIT_REGEX,TIME,time_reference,"After that, she appeared on some compilations like ""GIZA studio MAI-K & FRIENDS HOTROD BEACH PARTY"" and ""DAY TRACK: Lady Mastersoul"".",1,3,== History == | === 2002–2003: Audition and success ===,50038741,,,ML
tonight,NN,DAY_TIME_REGEX,TIME,time_reference,"On July 2, 2003, she released her first single ""Don't you wanna see me <oh> tonight?"".",0,4,== History == | === 2002–2003: Audition and success ===,50038741,,,ML
December 3,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On December 3, her debut studio album ""CONTROL Your touch"" was released.",0,5,== History == | === 2002–2003: Audition and success ===,50038741,,,ML
April 14,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On April 14, she released the lead single from her 2nd album ""Yumi Shizukusa II"", ""Kokoro wa itsumo Rainbow Color"".",0,7,"== History == | === 2004: ""Yumi Shizukusa II"" ===",50038741,,,ML
October 29,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On October 29, she released 10th single ""GO YOUR OWN WAY"".",0,15,"== History == | === 2007–2010: ""I still believe"" and duet with KG ===",50038741,,,ML
ENDLESS SUMMER,NNP NNP,PREFIX_REGEX_2 SEASON_REGEX,MODIFIER TIME,time_reference,"On August 19, 2009, she released her first extended play ""ENDLESS SUMMER"".",0,17,"== History == | === 2007–2010: ""I still believe"" and duet with KG ===",50038741,,,ML
February 24,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On February 24, she appeared on KG's album ""Love for you"" and sang ""Kanawanai Koi demo"" with him.",0,18,"== History == | === 2007–2010: ""I still believe"" and duet with KG ===",50038741,,,ML
3 years,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"After that, she went silent about for 3 years.",0,19,"== History == | === 2007–2010: ""I still believe"" and duet with KG ===",50038741,,,ML
2018-2021,JJ,YEAR_REGEX_1,TIME,time_reference,2018-2021:,1,25,== History == | === 2018-2021: First Art Exhibition and YouTube Live Stream ===,50038741,,,ML
