time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
14 May 1981,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Sarbel Michael Maronitis (Greek: Σαρμπέλ Μιχαήλ Μαρωνίτης; Arabic: شربل; born 14 May 1981) known professionally as Sarbel, is a British-Cypriot pop singer.",0,0,,1906425,1981-05-14,1981-05-14,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Ηe represented Greece in the Eurovision Song Contest 2007 with ""Yassou Maria"".",2,0,,1906425,2007-01-01,2007-12-31,ML
2004–2005,CD,YEAR_REGEX_1,TIME,time_reference,=== 2004–2005: Parakseno sinesthima (Παράξενο Συναίσθημα),0,7,== Music career == | === 2004–2005: Parakseno sinesthima (Παράξενο Συναίσθημα) ===,1906425,2004-01-01,2005-12-31,ML
2008–2012,CD,YEAR_REGEX_1,TIME,time_reference,2008–2012:,1,17,== Music career == | === 2008–2012: Kati san esena ===,1906425,2008-01-01,2012-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Sarbel started singing at Votanikos club in Athens, at 2008, along with Natassa Theodoridou and Nikos Kourkoulis.",0,18,== Music career == | === 2008–2012: Kati san esena ===,1906425,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,[Greek for 'I have been driven crazy'] was introduced at the Greek National Final 2008 on ERT.,2,18,== Music career == | === 2008–2012: Kati san esena ===,1906425,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"To promote his new album amongst his fellow Londoners, he performed at the two-day Cyprus Wine Festival of London in 2008.",0,19,== Music career == | === 2008–2012: Kati san esena ===,1906425,2008-01-01,2008-12-31,ML
July 2009,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In July 2009, Sarbel released a two track CD-single titled ""Mou Pai"" under his new signing with E. DI.EL record label.",3,19,== Music career == | === 2008–2012: Kati san esena ===,1906425,2009-07-01,2009-07-31,ML
of 2011,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,His new CD album was released in the Spring of 2011.,0,21,== Music career == | === 2008–2012: Kati san esena ===,1906425,2011-01-01,2011-12-31,ML
November 2011,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The following single was ""Pou Na Girnas"" released in November 2011 and was penned by Greek composer Alexis Serkos.",3,21,== Music career == | === 2008–2012: Kati san esena ===,1906425,2011-11-01,2011-11-30,ML
early 2013,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"[Greek for 'First Flight'] which was released in early 2013 and followed up with a tour in Crete, Athens, Beirut and Cyprus.",1,23,== Music career == | === 2012-present ===,1906425,2013-01-01,2013-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"2004: ""Se Pira Sovara""",0,29,== Discography == | ==== Full singles discography ====,1906425,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"2005: ""Sokolata""",0,30,== Discography == | ==== Full singles discography ====,1906425,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"2005: ""Thelo na petaxo""",0,31,== Discography == | ==== Full singles discography ====,1906425,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"2006: ""Sahara""",0,32,== Discography == | ==== Full singles discography ====,1906425,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"2006: ""Takse mou""",0,33,== Discography == | ==== Full singles discography ====,1906425,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"2006: ""Enas apo mas""",0,34,== Discography == | ==== Full singles discography ====,1906425,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"2007: ""Yassou Maria""",0,35,== Discography == | ==== Full singles discography ====,1906425,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"2008: ""Eho trelathei""",0,36,== Discography == | ==== Full singles discography ====,1906425,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"2009: ""Mou pai"" ['It suits me']",0,37,== Discography == | ==== Full singles discography ====,1906425,2009-01-01,2009-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"2011: ""Kafto Kalokairi""",0,38,== Discography == | ==== Full singles discography ====,1906425,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"2011: ""Pou Na Girnas""",0,39,== Discography == | ==== Full singles discography ====,1906425,2011-01-01,2011-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"2013: ""Proti Ptisi""",0,40,== Discography == | ==== Full singles discography ====,1906425,2013-01-01,2013-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"2004: ""Se pira sovara""",0,42,== Discography == | ==== Music videos ====,1906425,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"2005: ""Sokolata""",0,43,== Discography == | ==== Music videos ====,1906425,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"2005: ""Thelo na petaxo""",0,44,== Discography == | ==== Music videos ====,1906425,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"2005: ""Boro Boro/Chiculata"" (Mad Music Awards)",0,45,== Discography == | ==== Music videos ====,1906425,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"2006: ""Thriller""/""Pano stin trella mou"" (Mad Music Awards)",0,46,== Discography == | ==== Music videos ====,1906425,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"2006: ""Taxe mou""",0,47,== Discography == | ==== Music videos ====,1906425,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"2006: ""Enas apo mas""",0,48,== Discography == | ==== Music videos ====,1906425,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"2007: ""Yassou Maria"" (ERT Promo Video)",0,49,== Discography == | ==== Music videos ====,1906425,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"2007: ""Yassou Maria"" (Official Video Clip)",0,50,== Discography == | ==== Music videos ====,1906425,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"2008: ""Eho trelathei""",0,51,== Discography == | ==== Music videos ====,1906425,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"2009: ""Mou paei""",0,52,== Discography == | ==== Music videos ====,1906425,2009-01-01,2009-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"2011: ""Monaxa esy""",0,53,== Discography == | ==== Music videos ====,1906425,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"2011: ""Kafto Kalokairi""",0,54,== Discography == | ==== Music videos ====,1906425,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"2011: ""Pou Na Girnas""",0,55,== Discography == | ==== Music videos ====,1906425,2011-01-01,2011-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"2013: ""Proti Ptisi""",0,56,== Discography == | ==== Music videos ====,1906425,2013-01-01,2013-12-31,ML
summer,NN,SEASON_REGEX,TIME,time_reference,Sarbel's family made frequent summer trips to Greece and Cyprus.,1,3,== Biography == | === Early life ===,1906425,,,ML
year,NN,TIME_UNIT_REGEX,TIME,time_reference,That same year he recorded a duet with Greek singer Natassa Theodoridou called Na' Soun Thalassa ['Wish you were sea] which was also included as a bonus song on the album.,1,10,== Music career == | === 2006: Sahara ===,1906425,,,ML
the Spring,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,His new CD album was released in the Spring of 2011.,0,21,== Music career == | === 2008–2012: Kati san esena ===,1906425,,,ML
the 18 March 2011,DT CD NNP CD,PREFIX_REGEX_1 DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,MODIFIER NUMERAL TIME TIME,time_reference,"The first single from this CD Album was the pre-release from the album and was called ""Kafto Kalokairi"" with the initial performance at the Pavilion on the 18 March 2011.",1,21,== Music career == | === 2008–2012: Kati san esena ===,1906425,,,ML
winter,NN,SEASON_REGEX,TIME,time_reference,The video clip was released in conjunction with single to launch Sarbel's winter tour of Dubai and the Persian Gulf region.,4,21,== Music career == | === 2008–2012: Kati san esena ===,1906425,,,ML
2012-present,JJ,YEAR_REGEX_1,TIME,time_reference,2012-present =,1,22,== Music career == | === 2012-present ===,1906425,,,ML
this year,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,The event was organised to promote the representatives for this year's Eurovision Song Contest and Sarbel as an earlier contestant was invited to perform by public demand.,4,23,== Music career == | === 2012-present ===,1906425,,,ML
summer,NN,SEASON_REGEX,TIME,time_reference,['Hot summer'],1,38,== Discography == | ==== Full singles discography ====,1906425,,,ML
