time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 21 , 1951","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Warren Vaché (born February 21, 1951) is an American jazz trumpeter, cornetist, and flugelhornist.",0,0,,7946764,1951-02-21,1951-02-21,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"In 1976, he released his first album.",3,0,,7946764,1976-01-01,1976-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"First Time Out (Monmouth Evergreen, 1976)",0,3,== Discography == | === As leader ===,7946764,1976-01-01,1976-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"2gether (Nagel-Heyer, 2000) with Bill Charlap",0,18,== Discography == | === As leader ===,7946764,2000-01-01,2000-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"The Best Thing for You (Nagel-Heyer, 2001)",0,19,== Discography == | === As leader ===,7946764,2001-01-01,2001-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"The Warren Vache Quintet Remembers Benny Carter (Arbors, 2015)",0,20,== Discography == | === As leader ===,7946764,2015-01-01,2015-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Songs Our Fathers Taught Us (Arbors, 2019)",0,21,== Discography == | === As leader ===,7946764,2019-01-01,2019-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"The Howard Alden Trio Plus Special Guests Ken Peplowski & Warren Vache (Concord, 1989)",0,24,== Discography == | === As sideman ===,7946764,1989-01-01,1989-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"I Remember Django (Arbors, 2010)With Benny Carter",0,25,== Discography == | === As sideman ===,7946764,2010-01-01,2010-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Benny Carter Songbook (MusicMasters, 1996)",0,26,== Discography == | === As sideman ===,7946764,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Benny Carter Songbook Volume II (MusicMasters, 1997)With Benny Goodman",0,27,== Discography == | === As sideman ===,7946764,1997-01-01,1997-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,"Live at Carnegie Hall 40th Anniversary Concert (London, 1978)With Houston Person",0,28,== Discography == | === As sideman ===,7946764,1978-01-01,1978-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"So Nice (HighNote, 2011)",0,29,== Discography == | === As sideman ===,7946764,2011-01-01,2011-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Rain or Shine (HighNote, 2017)With Bucky Pizzarelli",0,30,== Discography == | === As sideman ===,7946764,2017-01-01,2017-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Five for Freddie (Arbors, 2007)With André Previn",0,31,== Discography == | === As sideman ===,7946764,2007-01-01,2007-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"(Angel, 1993)With",1,32,== Discography == | === As sideman ===,7946764,1993-01-01,1993-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"George Shearing in Dixieland (Concord, 1989)With",0,33,== Discography == | === As sideman ===,7946764,1989-01-01,1989-12-31,ML
