time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"October 8 , 1976","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Tony Simon (born October 8, 1976), better known by his stage name Blockhead, is an American hip hop record producer and DJ from Manhattan, New York.",0,0,,2632246,1976-10-08,1976-10-08,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,Music by Cavelight (2004),0,5,== Discography == | === Studio albums ===,2632246,2004-01-01,2004-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,Quar and Peace (2020),0,27,== Discography == | === Compilation albums ===,2632246,2020-01-01,2020-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,Preparing for Capture (2012) (with Illogic),0,29,== Discography == | === EPs ===,2632246,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,Preparing for Capture 2 (2012) (with Illogic),0,30,== Discography == | === EPs ===,2632246,2012-01-01,2012-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,After Capture (2013) (with Illogic),0,31,== Discography == | === EPs ===,2632246,2013-01-01,2013-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,Tiny Bubbles (2020),0,32,== Discography == | === EPs ===,2632246,2020-01-01,2020-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"""Insomniac Olympics"" (2003)",0,34,== Discography == | === Singles ===,2632246,2003-01-01,2003-12-31,ML
Sunday,NNP,WEEK_REGEX,TIME,time_reference,"""Sunday Seance"" / ""Jet Son"" (2004)",0,35,== Discography == | === Singles ===,2632246,,,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"""Sunday Seance"" / ""Jet Son"" (2004)",0,35,== Discography == | === Singles ===,2632246,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"""Expiration Date"" (2005)",0,36,== Discography == | === Singles ===,2632246,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"""Alright"" (2006)",0,37,== Discography == | === Singles ===,2632246,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"""Nobody's Smiling"" (2007) (with DJ Signify)",0,38,== Discography == | === Singles ===,2632246,2007-01-01,2007-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""1,000 Deaths"" from Appleseed (1999)",0,40,== Discography == | === Productions ===,2632246,1999-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""Commencement at the Obedience Academy"", ""I'll Be OK"", ""Basic Cable"", ""Oxygen"", ""Spare a Match"", ""Attention Span"", ""Drawbridge"", and ""The Mayor and the Crook"" from Float (2000)",0,41,== Discography == | === Productions ===,2632246,2000-01-01,2000-12-31,ML
Daylight,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Aesop Rock - ""Daylight"", ""Save Yourself"", ""Flashflood"", ""No Regrets"", ""The Tugboat Complex Pt. 3"", ""Bent Life"", ""The Yes and the Y'All"", ""9-5ers Anthem"", and ""Shovel"" from Labor Days (2001)",0,42,== Discography == | === Productions ===,2632246,,,ML
Days,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Aesop Rock - ""Daylight"", ""Save Yourself"", ""Flashflood"", ""No Regrets"", ""The Tugboat Complex Pt. 3"", ""Bent Life"", ""The Yes and the Y'All"", ""9-5ers Anthem"", and ""Shovel"" from Labor Days (2001)",0,42,== Discography == | === Productions ===,2632246,,,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""Daylight"", ""Save Yourself"", ""Flashflood"", ""No Regrets"", ""The Tugboat Complex Pt. 3"", ""Bent Life"", ""The Yes and the Y'All"", ""9-5ers Anthem"", and ""Shovel"" from Labor Days (2001)",0,42,== Discography == | === Productions ===,2632246,2001-01-01,2001-12-31,ML
Daylight,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Aesop Rock - ""Daylight"", ""Night Light"", ""Forest Crunk"", and ""Maintenance"" from Daylight (2002)",0,43,== Discography == | === Productions ===,2632246,,,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""Daylight"", ""Night Light"", ""Forest Crunk"", and ""Maintenance"" from Daylight (2002)",0,43,== Discography == | === Productions ===,2632246,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Lodeck - ""I Pollute"" from Bash It (2002)",0,44,== Discography == | === Productions ===,2632246,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Murs - ""Happy Pillz"" from The End of the Beginning (2002)",0,45,== Discography == | === Productions ===,2632246,2002-01-01,2002-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"S.A. Smash - ""Love to Fuck"" from Smashy Trashy (2003)",0,46,== Discography == | === Productions ===,2632246,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""Cook It Up"", ""Babies with Guns"", and ""11:35"" from Bazooka Tooth (2003)",0,47,== Discography == | === Productions ===,2632246,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Lodeck - ""Applause"", ""Feed Me Grapes"", and ""Beautiful Disease"" from Dream Dentistry (2003)",0,48,== Discography == | === Productions ===,2632246,2003-01-01,2003-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Vordul Mega - ""Struggles"" from The Revolution of Yung Havoks (2004)",0,49,== Discography == | === Productions ===,2632246,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Cryptic One - ""Apocalypse Zone"", ""Unicycle"", ""Bicycle"", and ""Tricycle"" from The Anti-Mobius Strip Theory (2004)",0,50,== Discography == | === Productions ===,2632246,2004-01-01,2004-12-31,ML
Winter,NNP,SEASON_REGEX,TIME,time_reference,"Cage - ""Too Heavy for Cherubs"", ""Stripes"", and ""Scenster"" from Hell's Winter (2005)",0,51,== Discography == | === Productions ===,2632246,,,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Cage - ""Too Heavy for Cherubs"", ""Stripes"", and ""Scenster"" from Hell's Winter (2005)",0,51,== Discography == | === Productions ===,2632246,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Illogic - ""An Ocean"" from Write to Death (2005)",0,52,== Discography == | === Productions ===,2632246,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""Fast Cars"", ""Number Nine"", and ""Holy Smokes"" from Fast Cars, Danger, Fire and Knives (2005)",0,53,== Discography == | === Productions ===,2632246,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Despot - ""Crxp Artists"" and ""Substance D"" (2006)",0,54,== Discography == | === Productions ===,2632246,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""None Shall Pass"", ""Bring Back Pluto"", ""Fumes"", ""Getaway Car"", ""The Harbor Is Yours"", ""No City"", and ""Coffee"" from None Shall Pass (2007)",0,55,== Discography == | === Productions ===,2632246,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Hangar 18 - ""The West Wing"" and ""Room to Breathe"" from Sweep the Leg (2007)",0,56,== Discography == | === Productions ===,2632246,2007-01-01,2007-12-31,ML
3:16 Presents,CD NNP,DIGIT_REGEX_1 TIMELINE_REGEX,NUMERAL TIME,,"""Winds Know Better"" and ""Tucson AZ"" from Murs 3:16 Presents (2008)",1,57,== Discography == | === Productions ===,2632246,,,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"""Winds Know Better"" and ""Tucson AZ"" from Murs 3:16 Presents (2008)",1,57,== Discography == | === Productions ===,2632246,2008-01-01,2008-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"DJ Signify - ""Costume Kids"" and ""1993"" from Of Cities (2009)",0,58,== Discography == | === Productions ===,2632246,1993-01-01,1993-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"DJ Signify - ""Costume Kids"" and ""1993"" from Of Cities (2009)",0,58,== Discography == | === Productions ===,2632246,2009-01-01,2009-12-31,ML
Nightmares,NNP,DAY_TIME_REGEX,TIME,time_reference,"Open Mike Eagle - ""Billy's Quagmire"" from Extended Nightmares Getdown: The Dark Blue Door (2011)",0,59,== Discography == | === Productions ===,2632246,,,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Open Mike Eagle - ""Billy's Quagmire"" from Extended Nightmares Getdown: The Dark Blue Door (2011)",0,59,== Discography == | === Productions ===,2632246,2011-01-01,2011-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Armand Hammer - ""The Press"" from Half Measures (2013)",0,60,== Discography == | === Productions ===,2632246,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,Billy Woods - Dour Candy (2013),0,61,== Discography == | === Productions ===,2632246,2013-01-01,2013-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""Cat Food"" (2014)",0,62,== Discography == | === Productions ===,2632246,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Armand Hammer - ""F.U.B.U."" from Furtive Movements (2014)",0,63,== Discography == | === Productions ===,2632246,2014-01-01,2014-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock & Homeboy Sandman - ""Environmental Studies"" from Lice (2015)",0,64,== Discography == | === Productions ===,2632246,2015-01-01,2015-12-31,ML
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,"Billy Woods - ""Bicycles"", ""True Stories"", and ""Good Night"" from Today, I Wrote Nothing (2015)",0,65,== Discography == | === Productions ===,2632246,,,ML
Today,NNP,TIMELINE_REGEX,TIME,time_reference,"Billy Woods - ""Bicycles"", ""True Stories"", and ""Good Night"" from Today, I Wrote Nothing (2015)",0,65,== Discography == | === Productions ===,2632246,,,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Billy Woods - ""Bicycles"", ""True Stories"", and ""Good Night"" from Today, I Wrote Nothing (2015)",0,65,== Discography == | === Productions ===,2632246,2015-01-01,2015-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Marq Spekt - ""Still Right In"" from Bionic Jazz (2016)",0,66,== Discography == | === Productions ===,2632246,2016-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Googie - ""Big Mouth Arcade"" and ""Googie Architecture"" (2016)",0,67,== Discography == | === Productions ===,2632246,2016-01-01,2016-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,Billy Woods - Known Unknowns (2017),0,68,== Discography == | === Productions ===,2632246,2017-01-01,2017-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Billy Woods - ""That Was Then"", ""Birdsong"", and ""Suzerain"" from Terror Management (2019)",0,69,== Discography == | === Productions ===,2632246,2019-01-01,2019-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"The Majesticons - ""Suburb Party (Blockhead Remix)"" (2003)",0,71,== Discography == | === Remixes ===,2632246,2003-01-01,2003-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Her Space Holiday - ""Meet the Pressure (Blockhead Remix)"" from The Young Machines Remixed (2004)",0,72,== Discography == | === Remixes ===,2632246,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Cool Calm Pete - ""Lost (Blockhead Remix)"" (2005)",0,73,== Discography == | === Remixes ===,2632246,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Omega One - ""Off the Horizon (Blockhead Remix)"" from Memento (2006)",0,74,== Discography == | === Remixes ===,2632246,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Lodeck - ""Na Lubom Yazike (Blockhead Remix)"" and ""Demon Strait (Blockhead Remix)"" from Behold (2007)",0,75,== Discography == | === Remixes ===,2632246,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Del the Funkee Homosapien - ""Foot Down (Blockhead Remix)"" (2008)",0,76,== Discography == | === Remixes ===,2632246,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Yameen - ""Fire (Blockhead Remix)"" from Never Knows More (2009)",0,77,== Discography == | === Remixes ===,2632246,2009-01-01,2009-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Nacho Picasso - ""Benjamin Segal (Blockhead Remix)"" from For the Glory (2011)",0,78,== Discography == | === Remixes ===,2632246,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Emancipator - ""Nevergreen (Blockhead Remix)"" from Remixes (2011)",0,79,== Discography == | === Remixes ===,2632246,2011-01-01,2011-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"DJ Cam - ""Love (Blockhead Remix)"" from Remixed (2013)",0,80,== Discography == | === Remixes ===,2632246,2013-01-01,2013-12-31,ML
A Night,DT NNP,INARTICLE_REGEX DAY_TIME_REGEX,MODIFIER TIME,time_reference,"The Difference Machine - ""A Night in the Life of the Day Tripper (Blockhead Remix)"" from Triangle Schemes (2017)",0,81,== Discography == | === Remixes ===,2632246,,,ML
of the Day,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The Difference Machine - ""A Night in the Life of the Day Tripper (Blockhead Remix)"" from Triangle Schemes (2017)",0,81,== Discography == | === Remixes ===,2632246,,,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"The Difference Machine - ""A Night in the Life of the Day Tripper (Blockhead Remix)"" from Triangle Schemes (2017)",0,81,== Discography == | === Remixes ===,2632246,2017-01-01,2017-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"""Right Way (Blockhead Remix)"" from Flux (2018)",1,82,== Discography == | === Remixes ===,2632246,2018-01-01,2018-12-31,ML
2022,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""Pigs (Blockhead Remix)"" from The Recycling Bin (2022)",0,83,== Discography == | === Remixes ===,2632246,2022-01-01,2022-12-31,ML
2022,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""Defender (Blockhead Remix)"" from The Recycling Bin (2022)",0,84,== Discography == | === Remixes ===,2632246,2022-01-01,2022-12-31,ML
2022,CD,YEAR_REGEX_1,TIME,time_reference,"Aesop Rock - ""Kodokushi (Blockhead Remix)"" from The Recycling Bin (2022)",0,85,== Discography == | === Remixes ===,2632246,2022-01-01,2022-12-31,ML
