time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"September 27 , 1964","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Matthew Edward Wilson (born September 27, 1964) is an American jazz drummer.",0,0,,43215665,1964-09-27,1964-09-27,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"He moved to New York City in 1992, and has worked with Lee Konitz, Cecil McBee, and Dewey Redman.",2,2,== Career ==,43215665,1992-01-01,1992-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"As Wave Follows Wave (Palmetto, 1996)",0,5,== Discography == | === As leader ===,43215665,1996-01-01,1996-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"Live at Mezzrow (Sunnyside, 2020)With others",0,50,== Discography == | === As sideman ===,43215665,2020-01-01,2020-12-31,ML
Midnight,NNP,DAY_TIME_REGEX,TIME,time_reference,"Karrin Allyson, Round Midnight (Concord Jazz, 2011)",0,51,== Discography == | === As sideman ===,43215665,,,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Karrin Allyson, Round Midnight (Concord Jazz, 2011)",0,51,== Discography == | === As sideman ===,43215665,2011-01-01,2011-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Helio Alves, Portrait in Black and White (Reservoir, 2003)",0,52,== Discography == | === As sideman ===,43215665,2003-01-01,2003-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Jay Anderson, Deepscape (SteepleChase, 2019)",0,53,== Discography == | === As sideman ===,43215665,2019-01-01,2019-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Steve Beresford, Snodland (Nato, 2011)",0,54,== Discography == | === As sideman ===,43215665,2011-01-01,2011-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Andy Biskin, Dogmental (GM, 2000)",0,55,== Discography == | === As sideman ===,43215665,2000-01-01,2000-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Jane Ira Bloom, Mental Weather (Outline, 2008)",0,56,== Discography == | === As sideman ===,43215665,2008-01-01,2008-12-31,ML
Sixteen Sunsets,NNP NNP,BASIC_NUMBER_REGEX_1 DAY_TIME_REGEX,NUMERAL TIME,time_reference,"Jane Ira Bloom, Sixteen Sunsets (Outline, 2013)",0,57,== Discography == | === As sideman ===,43215665,,,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Jane Ira Bloom, Sixteen Sunsets (Outline, 2013)",0,57,== Discography == | === As sideman ===,43215665,2013-01-01,2013-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Michael Blake, Drift (Intuition, 2000)",0,58,== Discography == | === As sideman ===,43215665,2000-01-01,2000-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Steve Cardenas, Charlie & Paul (Newvelle, 2018)",0,59,== Discography == | === As sideman ===,43215665,2018-01-01,2018-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Thomas Chapin, Never Let Me Go (Playscape, 2012)",0,60,== Discography == | === As sideman ===,43215665,2012-01-01,2012-12-31,ML
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,"Caleb Chapman, A Crescent Christmas Vol 1 (Rlegacy, 2012)",0,61,== Discography == | === As sideman ===,43215665,,,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Caleb Chapman, A Crescent Christmas Vol 1 (Rlegacy, 2012)",0,61,== Discography == | === As sideman ===,43215665,2012-01-01,2012-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Allan Chase, Dark Clouds with Silver Linings (Accurate, 1995)",0,62,== Discography == | === As sideman ===,43215665,1995-01-01,1995-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Alexis Cole, Someday My Prince Will Come (Venus, 2009)",0,63,== Discography == | === As sideman ===,43215665,2009-01-01,2009-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Georges Delerue, Music from the Films of Francois Truffaut (Nonesuch, 1997)",0,64,== Discography == | === As sideman ===,43215665,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Dominique Eade, When the Wind Was Cool (RCA Victor, 1997)",0,65,== Discography == | === As sideman ===,43215665,1997-01-01,1997-12-31,ML
the Morning,DT NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,"Marty Ehrlich, A Trumpet in the Morning (New World, 2013)",0,66,== Discography == | === As sideman ===,43215665,,,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Marty Ehrlich, A Trumpet in the Morning (New World, 2013)",0,66,== Discography == | === As sideman ===,43215665,2013-01-01,2013-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Reimaging Benny Goodman (Motema, 2015)",1,67,== Discography == | === As sideman ===,43215665,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Jacob Fischer, In New York City (Arbors, 2015)",0,68,== Discography == | === As sideman ===,43215665,2015-01-01,2015-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Joel Frahm, Sorry, no decaf (Palmetto, 1999)",0,69,== Discography == | === As sideman ===,43215665,1999-01-01,1999-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Don Friedman, Almost Everything (SteepleChase, 1995)",0,70,== Discography == | === As sideman ===,43215665,1995-01-01,1995-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Larry Goldings, Quartet (Palmetto, 2006)",0,71,== Discography == | === As sideman ===,43215665,2006-01-01,2006-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Brad Goode, By Myself (SteepleChase, 2001)",0,72,== Discography == | === As sideman ===,43215665,2001-01-01,2001-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Charlie Haden, Not in Our Name (Verve, 2005)",0,73,== Discography == | === As sideman ===,43215665,2005-01-01,2005-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Charlie Haden, Time/Life (Impulse!, 2016)",0,74,== Discography == | === As sideman ===,43215665,2016-01-01,2016-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Matt Haimovitz, Meeting of the Spirits (Oxingale, 2010)",0,75,== Discography == | === As sideman ===,43215665,2010-01-01,2010-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Mary Halvorson, Sifter (Relative Pitch, 2013)",0,76,== Discography == | === As sideman ===,43215665,2013-01-01,2013-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Ron Horton, Subtextures (Fresh Sound, 2003)",0,77,== Discography == | === As sideman ===,43215665,2003-01-01,2003-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Hank Jones, Alone Together (Edition Longplay, 2012)",0,78,== Discography == | === As sideman ===,43215665,2012-01-01,2012-12-31,ML
Pastels,NNP,TIMELINE_REGEX,TIME,time_reference,"Vic Juris, Pastels (SteepleChase, 1996)",0,79,== Discography == | === As sideman ===,43215665,,,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Vic Juris, Pastels (SteepleChase, 1996)",0,79,== Discography == | === As sideman ===,43215665,1996-01-01,1996-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Frank Kimbrough, Lullabluebye (Palmetto, 2004)",0,80,== Discography == | === As sideman ===,43215665,2004-01-01,2004-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Frank Kimbrough, Live at Kitano (Palmetto, 2012)",0,81,== Discography == | === As sideman ===,43215665,2012-01-01,2012-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Lee Konitz, Strings for Holiday (Enja, 1996)",0,82,== Discography == | === As sideman ===,43215665,1996-01-01,1996-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Lee Konitz, Gong with Wind Suite (SteepleChase, 2002)",0,83,== Discography == | === As sideman ===,43215665,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Andy LaVerne, Pianissimo (SteepleChase, 2002)",0,84,== Discography == | === As sideman ===,43215665,2002-01-01,2002-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"David Liebman, Liebman Plays Puccini (Arkadia Jazz 2001)",0,85,== Discography == | === As sideman ===,43215665,2001-01-01,2001-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Steven Lugerner, For We Have Heard (NoBusiness, 2013)",0,86,== Discography == | === As sideman ===,43215665,2013-01-01,2013-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Rita Marcotulli, The Very Thought of You (GoFour, 2019)",0,87,== Discography == | === As sideman ===,43215665,2019-01-01,2019-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Cecil McBee, Unspoken (Palmetto, 1996)",0,88,== Discography == | === As sideman ===,43215665,1996-01-01,1996-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"John McNeil, East Coast Cool (OmniTone, 2006)",0,89,== Discography == | === As sideman ===,43215665,2006-01-01,2006-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Myra Melford, The Whole Tree Gone (Firehouse 12, 2010)",0,90,== Discography == | === As sideman ===,43215665,2010-01-01,2010-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Josh Nelson, Let It Go (Omagatoki, 2007)",0,91,== Discography == | === As sideman ===,43215665,2007-01-01,2007-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Sam Newsome, The Tender Side of Sammy Straighthorn (SteepleChase, 1998)",0,92,== Discography == | === As sideman ===,43215665,1998-01-01,1998-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Herbie Nichols, Strange City (Palmetto, 2001)",0,93,== Discography == | === As sideman ===,43215665,2001-01-01,2001-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Fritz Pauer, New York Meeting (Jive Music, 1998)",0,94,== Discography == | === As sideman ===,43215665,1998-01-01,1998-12-31,ML
September,NNP,MONTH_REGEX,TIME,time_reference,"Ken Peplowski, Maybe September (Capri, 2013)",0,95,== Discography == | === As sideman ===,43215665,,,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Ken Peplowski, Maybe September (Capri, 2013)",0,95,== Discography == | === As sideman ===,43215665,2013-01-01,2013-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Ken Peplowski, Enrapture (Capri, 2016)",0,96,== Discography == | === As sideman ===,43215665,2016-01-01,2016-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Noah Preminger, Before the Rain (Palmetto, 2011)",0,97,== Discography == | === As sideman ===,43215665,2011-01-01,2011-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Bruno Raberg, Lifelines (OrbisMusic, 2008)",0,98,== Discography == | === As sideman ===,43215665,2008-01-01,2008-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Dewey Redman, In London (Palmetto, 1997)",0,99,== Discography == | === As sideman ===,43215665,1997-01-01,1997-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Ken Schaphorst, How to Say Goodbye (JCA, 2016)",0,100,== Discography == | === As sideman ===,43215665,2016-01-01,2016-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Larry Schneider, Jazz (SteepleChase, 2001)",0,101,== Discography == | === As sideman ===,43215665,2001-01-01,2001-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Janis Siegel, The Tender Trap (Monarch, 1999)",0,102,== Discography == | === As sideman ===,43215665,1999-01-01,1999-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Gary Smulyan, Bella Napoli (Capri, 2013)",0,103,== Discography == | === As sideman ===,43215665,2013-01-01,2013-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Mark Soskin, 17 (TCB, 2001)",0,104,== Discography == | === As sideman ===,43215665,2001-01-01,2001-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"Mark Soskin, Everything Old Is New Again (SteepleChase, 2020)",0,105,== Discography == | === As sideman ===,43215665,2020-01-01,2020-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Bob Stewart, Connections (Sunnyside, 2014)",0,106,== Discography == | === As sideman ===,43215665,2014-01-01,2014-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Curtis Stigers, You Inspire Me (Concord Jazz, 2003)",0,107,== Discography == | === As sideman ===,43215665,2003-01-01,2003-12-31,ML
Today,NNP,TIMELINE_REGEX,TIME,time_reference,"Curtis Stigers, I Think It's Going to Rain Today (Concord Jazz, 2005)",0,108,== Discography == | === As sideman ===,43215665,,,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Curtis Stigers, I Think It's Going to Rain Today (Concord Jazz, 2005)",0,108,== Discography == | === As sideman ===,43215665,2005-01-01,2005-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Mark Taylor, Circle Squared (Mark Taylor, 2002)",0,109,== Discography == | === As sideman ===,43215665,2002-01-01,2002-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Joris Teepe & Don Braden, Conversations (Creative Perspective Music, 2016)",0,110,== Discography == | === As sideman ===,43215665,2016-01-01,2016-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Jeremy Udden, Torchsongs (Fresh Sound, 2006)",0,111,== Discography == | === As sideman ===,43215665,2006-01-01,2006-12-31,ML
Dawn,NNP,DAY_TIME_REGEX,TIME,time_reference,"Dawn Upshaw, Dawn Upshaw Sings Rodgers & Hart (Nonesuch, 1996)",0,112,== Discography == | === As sideman ===,43215665,,,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Dawn Upshaw, Dawn Upshaw Sings Rodgers & Hart (Nonesuch, 1996)",0,112,== Discography == | === As sideman ===,43215665,1996-01-01,1996-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Tom Varner, Second Communion (OmniTone, 2001)",0,113,== Discography == | === As sideman ===,43215665,2001-01-01,2001-12-31,ML
