token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
of,92.0,24.0,,3.0,
the,93.0,27.0,,3.0,
King,94.0,31.0,,3.0,
's,95.0,35.0,,3.0,
Musick,96.0,38.0,,3.0,
in,97.0,45.0,,3.0,
1924,98.0,48.0,DATE,3.0,
.,99.0,52.0,,3.0,
Although,0.0,0.0,,0.0,
Elgar,1.0,9.0,PERSON,0.0,Elgar
is,2.0,15.0,,0.0,
often,3.0,18.0,,0.0,
regarded,4.0,24.0,,0.0,
as,5.0,33.0,,0.0,
a,6.0,36.0,,0.0,
typically,7.0,38.0,,0.0,
English,8.0,48.0,NORP,0.0,
composer,9.0,56.0,,0.0,
",",10.0,64.0,,0.0,
most,11.0,66.0,,0.0,
of,12.0,71.0,,0.0,
his,13.0,74.0,,0.0,Elgar
musical,14.0,78.0,,0.0,
influences,15.0,86.0,,0.0,
were,16.0,97.0,,0.0,
not,17.0,102.0,,0.0,
from,18.0,106.0,,0.0,
England,19.0,111.0,GPE,0.0,
but,20.0,119.0,,0.0,
from,21.0,123.0,,0.0,
continental,22.0,128.0,,0.0,
Europe,23.0,140.0,LOC,0.0,
.,24.0,146.0,,0.0,
He,25.0,0.0,,1.0,Elgar
felt,26.0,3.0,,1.0,
himself,27.0,8.0,,1.0,Elgar
to,28.0,16.0,,1.0,
be,29.0,19.0,,1.0,
an,30.0,22.0,,1.0,
outsider,31.0,25.0,,1.0,
",",32.0,33.0,,1.0,
not,33.0,35.0,,1.0,
only,34.0,39.0,,1.0,
musically,35.0,44.0,,1.0,
",",36.0,53.0,,1.0,
but,37.0,55.0,,1.0,
socially,38.0,59.0,,1.0,
.,39.0,67.0,,1.0,
In,40.0,0.0,,2.0,
musical,41.0,3.0,,2.0,
circles,42.0,11.0,,2.0,
dominated,43.0,19.0,,2.0,
by,44.0,29.0,,2.0,
academics,45.0,32.0,,2.0,
",",46.0,41.0,,2.0,
he,47.0,43.0,,2.0,Elgar
was,48.0,46.0,,2.0,
a,49.0,50.0,,2.0,
self,50.0,52.0,,2.0,
-,51.0,56.0,,2.0,
taught,52.0,57.0,,2.0,
composer,53.0,64.0,,2.0,
;,54.0,72.0,,2.0,
in,55.0,74.0,,2.0,
Protestant,56.0,77.0,NORP,2.0,
Britain,57.0,88.0,GPE,2.0,Britain
",",58.0,95.0,,2.0,
his,59.0,97.0,,2.0,Elgar
Roman,60.0,101.0,NORP,2.0,
Catholicism,61.0,107.0,NORP,2.0,
was,62.0,119.0,,2.0,
regarded,63.0,123.0,,2.0,
with,64.0,132.0,,2.0,
suspicion,65.0,137.0,,2.0,
in,66.0,147.0,,2.0,
some,67.0,150.0,,2.0,
quarters,68.0,155.0,,2.0,
;,69.0,163.0,,2.0,
and,70.0,165.0,,2.0,
in,71.0,169.0,,2.0,
the,72.0,172.0,,2.0,
class,73.0,176.0,,2.0,
-,74.0,181.0,,2.0,
conscious,75.0,182.0,,2.0,
society,76.0,192.0,,2.0,
of,77.0,200.0,,2.0,
Victorian,78.0,203.0,DATE,2.0,
and,79.0,213.0,,2.0,
Edwardian,80.0,217.0,NORP,2.0,
Britain,81.0,227.0,GPE,2.0,Britain
",",82.0,234.0,,2.0,
he,83.0,236.0,,2.0,Elgar
was,84.0,239.0,,2.0,
acutely,85.0,243.0,,2.0,
sensitive,86.0,251.0,,2.0,
about,87.0,261.0,,2.0,
his,88.0,267.0,,2.0,Elgar
humble,89.0,271.0,,2.0,
origins,90.0,278.0,,2.0,
even,91.0,286.0,,2.0,
after,92.0,291.0,,2.0,
he,93.0,297.0,,2.0,Elgar
achieved,94.0,300.0,,2.0,
recognition,95.0,309.0,,2.0,
.,96.0,320.0,,2.0,
He,97.0,0.0,,3.0,Elgar
nevertheless,98.0,3.0,,3.0,
married,99.0,16.0,,3.0,
the,100.0,24.0,,3.0,
daughter,101.0,28.0,,3.0,daughter
of,102.0,37.0,,3.0,
a,103.0,40.0,,3.0,
senior,104.0,42.0,,3.0,
British,105.0,49.0,ORG,3.0,
Army,106.0,57.0,ORG,3.0,
officer,107.0,62.0,,3.0,
.,108.0,69.0,,3.0,
She,109.0,0.0,,4.0,daughter
inspired,110.0,4.0,,4.0,
him,111.0,13.0,,4.0,Elgar
both,112.0,17.0,,4.0,
musically,113.0,22.0,,4.0,
and,114.0,32.0,,4.0,
socially,115.0,36.0,,4.0,
",",116.0,44.0,,4.0,
but,117.0,46.0,,4.0,
he,118.0,50.0,,4.0,Elgar
struggled,119.0,53.0,,4.0,
to,120.0,63.0,,4.0,
achieve,121.0,66.0,,4.0,
success,122.0,74.0,,4.0,
until,123.0,82.0,,4.0,
his,124.0,88.0,DATE,4.0,Elgar
forties,125.0,92.0,DATE,4.0,
",",126.0,99.0,,4.0,
when,127.0,101.0,,4.0,
after,128.0,106.0,,4.0,
a,129.0,112.0,,4.0,
series,130.0,114.0,,4.0,
of,131.0,121.0,,4.0,
moderately,132.0,124.0,,4.0,
successful,133.0,135.0,,4.0,
works,134.0,146.0,,4.0,
his,135.0,152.0,,4.0,Elgar
Enigma,136.0,156.0,WORK_OF_ART,4.0,
Variations,137.0,163.0,WORK_OF_ART,4.0,Variations
(,138.0,174.0,,4.0,
1899,139.0,175.0,DATE,4.0,
),140.0,179.0,,4.0,
became,141.0,181.0,,4.0,
immediately,142.0,188.0,,4.0,
popular,143.0,200.0,,4.0,
in,144.0,208.0,,4.0,
Britain,145.0,211.0,GPE,4.0,Britain
and,146.0,219.0,,4.0,
overseas,147.0,223.0,,4.0,
.,148.0,231.0,,4.0,
He,149.0,0.0,,5.0,Elgar
followed,150.0,3.0,,5.0,
the,151.0,12.0,,5.0,
Variations,152.0,16.0,WORK_OF_ART,5.0,Variations
with,153.0,27.0,,5.0,
a,154.0,32.0,,5.0,
choral,155.0,34.0,,5.0,
work,156.0,41.0,,5.0,
",",157.0,45.0,,5.0,
The,158.0,47.0,WORK_OF_ART,5.0,
Dream,159.0,51.0,WORK_OF_ART,5.0,
of,160.0,57.0,WORK_OF_ART,5.0,
Gerontius,161.0,60.0,WORK_OF_ART,5.0,
(,162.0,70.0,,5.0,
1900,163.0,71.0,DATE,5.0,
),164.0,75.0,,5.0,
",",165.0,76.0,,5.0,
based,166.0,78.0,,5.0,
on,167.0,84.0,,5.0,
a,168.0,87.0,,5.0,
Roman,169.0,89.0,NORP,5.0,
Catholic,170.0,95.0,NORP,5.0,
text,171.0,104.0,,5.0,
that,172.0,109.0,,5.0,
caused,173.0,114.0,,5.0,
some,174.0,121.0,,5.0,
disquiet,175.0,126.0,,5.0,disquiet
in,176.0,135.0,,5.0,
the,177.0,138.0,,5.0,
Anglican,178.0,142.0,NORP,5.0,
establishment,179.0,151.0,,5.0,
in,180.0,165.0,,5.0,
Britain,181.0,168.0,GPE,5.0,Britain
",",182.0,175.0,,5.0,
but,183.0,177.0,,5.0,
it,184.0,181.0,,5.0,disquiet
became,185.0,184.0,,5.0,
",",186.0,190.0,,5.0,
and,187.0,192.0,,5.0,
has,188.0,196.0,,5.0,
remained,189.0,200.0,,5.0,
",",190.0,208.0,,5.0,
a,191.0,210.0,,5.0,
core,192.0,212.0,,5.0,
repertory,193.0,217.0,,5.0,
work,194.0,227.0,,5.0,
in,195.0,232.0,,5.0,
Britain,196.0,235.0,GPE,5.0,Britain
and,197.0,243.0,,5.0,
elsewhere,198.0,247.0,,5.0,
.,199.0,256.0,,5.0,
His,200.0,0.0,,6.0,Elgar
later,201.0,4.0,,6.0,
full,202.0,10.0,,6.0,
-,203.0,14.0,,6.0,
length,204.0,15.0,,6.0,
religious,205.0,22.0,,6.0,
choral,206.0,32.0,,6.0,
works,207.0,39.0,,6.0,
were,208.0,45.0,,6.0,
well,209.0,50.0,,6.0,
received,210.0,55.0,,6.0,
but,211.0,64.0,,6.0,
have,212.0,68.0,,6.0,
not,213.0,73.0,,6.0,
entered,214.0,77.0,,6.0,
the,215.0,85.0,,6.0,
regular,216.0,89.0,,6.0,
repertory,217.0,97.0,,6.0,
.,218.0,106.0,,6.0,
Although,0.0,0.0,,0.0,
Elgar,1.0,9.0,PERSON,0.0,Elgar
is,2.0,15.0,,0.0,
often,3.0,18.0,,0.0,
regarded,4.0,24.0,,0.0,
as,5.0,33.0,,0.0,
a,6.0,36.0,,0.0,
typically,7.0,38.0,,0.0,
English,8.0,48.0,NORP,0.0,
composer,9.0,56.0,,0.0,
",",10.0,64.0,,0.0,
most,11.0,66.0,,0.0,
of,12.0,71.0,,0.0,
his,13.0,74.0,,0.0,Elgar
musical,14.0,78.0,,0.0,
influences,15.0,86.0,,0.0,
were,16.0,97.0,,0.0,
not,17.0,102.0,,0.0,
from,18.0,106.0,,0.0,
England,19.0,111.0,GPE,0.0,
but,20.0,119.0,,0.0,
from,21.0,123.0,,0.0,
continental,22.0,128.0,,0.0,
Europe,23.0,140.0,LOC,0.0,
.,24.0,146.0,,0.0,
He,25.0,0.0,,1.0,Elgar
felt,26.0,3.0,,1.0,
himself,27.0,8.0,,1.0,Elgar
to,28.0,16.0,,1.0,
be,29.0,19.0,,1.0,
an,30.0,22.0,,1.0,
outsider,31.0,25.0,,1.0,
",",32.0,33.0,,1.0,
not,33.0,35.0,,1.0,
only,34.0,39.0,,1.0,
musically,35.0,44.0,,1.0,
",",36.0,53.0,,1.0,
but,37.0,55.0,,1.0,
socially,38.0,59.0,,1.0,
.,39.0,67.0,,1.0,
In,40.0,0.0,,2.0,
musical,41.0,3.0,,2.0,
circles,42.0,11.0,,2.0,
dominated,43.0,19.0,,2.0,
by,44.0,29.0,,2.0,
academics,45.0,32.0,,2.0,
",",46.0,41.0,,2.0,
he,47.0,43.0,,2.0,Elgar
was,48.0,46.0,,2.0,
a,49.0,50.0,,2.0,
self,50.0,52.0,,2.0,
-,51.0,56.0,,2.0,
taught,52.0,57.0,,2.0,
composer,53.0,64.0,,2.0,
;,54.0,72.0,,2.0,
in,55.0,74.0,,2.0,
Protestant,56.0,77.0,NORP,2.0,
Britain,57.0,88.0,GPE,2.0,Britain
",",58.0,95.0,,2.0,
his,59.0,97.0,,2.0,Elgar
Roman,60.0,101.0,NORP,2.0,
Catholicism,61.0,107.0,NORP,2.0,
was,62.0,119.0,,2.0,
regarded,63.0,123.0,,2.0,
with,64.0,132.0,,2.0,
suspicion,65.0,137.0,,2.0,
in,66.0,147.0,,2.0,
some,67.0,150.0,,2.0,
quarters,68.0,155.0,,2.0,
;,69.0,163.0,,2.0,
and,70.0,165.0,,2.0,
in,71.0,169.0,,2.0,
the,72.0,172.0,,2.0,
class,73.0,176.0,,2.0,
-,74.0,181.0,,2.0,
conscious,75.0,182.0,,2.0,
society,76.0,192.0,,2.0,
of,77.0,200.0,,2.0,
Victorian,78.0,203.0,DATE,2.0,
and,79.0,213.0,,2.0,
Edwardian,80.0,217.0,NORP,2.0,
Britain,81.0,227.0,GPE,2.0,Britain
",",82.0,234.0,,2.0,
he,83.0,236.0,,2.0,Elgar
was,84.0,239.0,,2.0,
acutely,85.0,243.0,,2.0,
sensitive,86.0,251.0,,2.0,
about,87.0,261.0,,2.0,
his,88.0,267.0,,2.0,Elgar
humble,89.0,271.0,,2.0,
origins,90.0,278.0,,2.0,
even,91.0,286.0,,2.0,
after,92.0,291.0,,2.0,
he,93.0,297.0,,2.0,Elgar
achieved,94.0,300.0,,2.0,
recognition,95.0,309.0,,2.0,
.,96.0,320.0,,2.0,
He,97.0,0.0,,3.0,Elgar
nevertheless,98.0,3.0,,3.0,
married,99.0,16.0,,3.0,
the,100.0,24.0,,3.0,
daughter,101.0,28.0,,3.0,daughter
of,102.0,37.0,,3.0,
a,103.0,40.0,,3.0,
senior,104.0,42.0,,3.0,
British,105.0,49.0,ORG,3.0,
Army,106.0,57.0,ORG,3.0,
officer,107.0,62.0,,3.0,
.,108.0,69.0,,3.0,
She,109.0,0.0,,4.0,daughter
inspired,110.0,4.0,,4.0,
him,111.0,13.0,,4.0,Elgar
both,112.0,17.0,,4.0,
musically,113.0,22.0,,4.0,
and,114.0,32.0,,4.0,
socially,115.0,36.0,,4.0,
",",116.0,44.0,,4.0,
but,117.0,46.0,,4.0,
he,118.0,50.0,,4.0,Elgar
struggled,119.0,53.0,,4.0,
to,120.0,63.0,,4.0,
achieve,121.0,66.0,,4.0,
success,122.0,74.0,,4.0,
until,123.0,82.0,,4.0,
his,124.0,88.0,DATE,4.0,Elgar
forties,125.0,92.0,DATE,4.0,
",",126.0,99.0,,4.0,
when,127.0,101.0,,4.0,
after,128.0,106.0,,4.0,
a,129.0,112.0,,4.0,
series,130.0,114.0,,4.0,
of,131.0,121.0,,4.0,
moderately,132.0,124.0,,4.0,
successful,133.0,135.0,,4.0,
works,134.0,146.0,,4.0,
his,135.0,152.0,,4.0,Elgar
Enigma,136.0,156.0,WORK_OF_ART,4.0,
Variations,137.0,163.0,WORK_OF_ART,4.0,Variations
(,138.0,174.0,,4.0,
1899,139.0,175.0,DATE,4.0,
),140.0,179.0,,4.0,
became,141.0,181.0,,4.0,
immediately,142.0,188.0,,4.0,
popular,143.0,200.0,,4.0,
in,144.0,208.0,,4.0,
Britain,145.0,211.0,GPE,4.0,Britain
and,146.0,219.0,,4.0,
overseas,147.0,223.0,,4.0,
.,148.0,231.0,,4.0,
He,149.0,0.0,,5.0,Elgar
followed,150.0,3.0,,5.0,
the,151.0,12.0,,5.0,
Variations,152.0,16.0,WORK_OF_ART,5.0,Variations
with,153.0,27.0,,5.0,
a,154.0,32.0,,5.0,
choral,155.0,34.0,,5.0,
work,156.0,41.0,,5.0,
",",157.0,45.0,,5.0,
The,158.0,47.0,WORK_OF_ART,5.0,
Dream,159.0,51.0,WORK_OF_ART,5.0,
of,160.0,57.0,WORK_OF_ART,5.0,
Gerontius,161.0,60.0,WORK_OF_ART,5.0,
(,162.0,70.0,,5.0,
1900,163.0,71.0,DATE,5.0,
),164.0,75.0,,5.0,
",",165.0,76.0,,5.0,
based,166.0,78.0,,5.0,
on,167.0,84.0,,5.0,
a,168.0,87.0,,5.0,
Roman,169.0,89.0,NORP,5.0,
Catholic,170.0,95.0,NORP,5.0,
text,171.0,104.0,,5.0,
that,172.0,109.0,,5.0,
caused,173.0,114.0,,5.0,
some,174.0,121.0,,5.0,
disquiet,175.0,126.0,,5.0,disquiet
in,176.0,135.0,,5.0,
the,177.0,138.0,,5.0,
Anglican,178.0,142.0,NORP,5.0,
establishment,179.0,151.0,,5.0,
in,180.0,165.0,,5.0,
Britain,181.0,168.0,GPE,5.0,Britain
",",182.0,175.0,,5.0,
but,183.0,177.0,,5.0,
it,184.0,181.0,,5.0,disquiet
became,185.0,184.0,,5.0,
",",186.0,190.0,,5.0,
and,187.0,192.0,,5.0,
has,188.0,196.0,,5.0,
remained,189.0,200.0,,5.0,
",",190.0,208.0,,5.0,
a,191.0,210.0,,5.0,
core,192.0,212.0,,5.0,
repertory,193.0,217.0,,5.0,
work,194.0,227.0,,5.0,
in,195.0,232.0,,5.0,
Britain,196.0,235.0,GPE,5.0,Britain
and,197.0,243.0,,5.0,
elsewhere,198.0,247.0,,5.0,
.,199.0,256.0,,5.0,
His,200.0,0.0,,6.0,Elgar
later,201.0,4.0,,6.0,
full,202.0,10.0,,6.0,
-,203.0,14.0,,6.0,
length,204.0,15.0,,6.0,
religious,205.0,22.0,,6.0,
choral,206.0,32.0,,6.0,
works,207.0,39.0,,6.0,
were,208.0,45.0,,6.0,
well,209.0,50.0,,6.0,
received,210.0,55.0,,6.0,
but,211.0,64.0,,6.0,
have,212.0,68.0,,6.0,
not,213.0,73.0,,6.0,
entered,214.0,77.0,,6.0,
the,215.0,85.0,,6.0,
regular,216.0,89.0,,6.0,
repertory,217.0,97.0,,6.0,
.,218.0,106.0,,6.0,
In,0.0,0.0,,0.0,
his,1.0,3.0,DATE,0.0,his
fifties,2.0,7.0,DATE,0.0,
",",3.0,14.0,,0.0,
Elgar,4.0,16.0,PERSON,0.0,Elgar
composed,5.0,22.0,,0.0,
a,6.0,31.0,,0.0,
symphony,7.0,33.0,,0.0,
and,8.0,42.0,,0.0,
a,9.0,46.0,,0.0,
violin,10.0,48.0,,0.0,
concerto,11.0,55.0,,0.0,
that,12.0,64.0,,0.0,
were,13.0,69.0,,0.0,
immensely,14.0,74.0,,0.0,
successful,15.0,84.0,,0.0,
.,16.0,94.0,,0.0,
His,17.0,0.0,,1.0,his
second,18.0,4.0,ORDINAL,1.0,
symphony,19.0,11.0,,1.0,
and,20.0,20.0,,1.0,
his,21.0,24.0,,1.0,Elgar
cello,22.0,28.0,,1.0,
concerto,23.0,34.0,,1.0,
did,24.0,43.0,,1.0,
not,25.0,47.0,,1.0,
gain,26.0,51.0,,1.0,
immediate,27.0,56.0,,1.0,
public,28.0,66.0,,1.0,
popularity,29.0,73.0,,1.0,
and,30.0,84.0,,1.0,
took,31.0,88.0,,1.0,
many,32.0,93.0,DATE,1.0,
years,33.0,98.0,DATE,1.0,
to,34.0,104.0,,1.0,
achieve,35.0,107.0,,1.0,
a,36.0,115.0,,1.0,
regular,37.0,117.0,,1.0,
place,38.0,125.0,,1.0,
in,39.0,131.0,,1.0,
the,40.0,134.0,,1.0,
concert,41.0,138.0,,1.0,
repertory,42.0,146.0,,1.0,
of,43.0,156.0,,1.0,
British,44.0,159.0,NORP,1.0,
orchestras,45.0,167.0,,1.0,
.,46.0,177.0,,1.0,
Elgar,47.0,0.0,PERSON,2.0,Elgar
's,48.0,5.0,,2.0,
music,49.0,8.0,,2.0,
came,50.0,14.0,,2.0,
",",51.0,18.0,,2.0,
in,52.0,20.0,,2.0,
his,53.0,23.0,,2.0,Elgar
later,54.0,27.0,,2.0,
years,55.0,33.0,,2.0,
",",56.0,38.0,,2.0,
to,57.0,40.0,,2.0,
be,58.0,43.0,,2.0,
seen,59.0,46.0,,2.0,
as,60.0,51.0,,2.0,
appealing,61.0,54.0,,2.0,
chiefly,62.0,64.0,,2.0,
to,63.0,72.0,,2.0,
British,64.0,75.0,NORP,2.0,
audiences,65.0,83.0,,2.0,
.,66.0,92.0,,2.0,
His,67.0,0.0,,3.0,Elgar
stock,68.0,4.0,,3.0,stock
remained,69.0,10.0,,3.0,
low,70.0,19.0,,3.0,
for,71.0,23.0,,3.0,
a,72.0,27.0,DATE,3.0,
generation,73.0,29.0,DATE,3.0,
after,74.0,40.0,,3.0,
his,75.0,46.0,,3.0,Elgar
death,76.0,50.0,,3.0,
.,77.0,55.0,,3.0,
It,78.0,0.0,,4.0,stock
began,79.0,3.0,,4.0,
to,80.0,9.0,,4.0,
revive,81.0,12.0,,4.0,
significantly,82.0,19.0,,4.0,
in,83.0,33.0,,4.0,
the,84.0,36.0,DATE,4.0,
1960s,85.0,40.0,DATE,4.0,
",",86.0,45.0,,4.0,
helped,87.0,47.0,,4.0,
by,88.0,54.0,,4.0,
new,89.0,57.0,,4.0,
recordings,90.0,61.0,,4.0,
of,91.0,72.0,,4.0,
his,92.0,75.0,,4.0,Elgar
works,93.0,79.0,,4.0,
.,94.0,84.0,,4.0,
Some,95.0,0.0,,5.0,
of,96.0,5.0,,5.0,
his,97.0,8.0,,5.0,Elgar
works,98.0,12.0,,5.0,
have,99.0,18.0,,5.0,
",",100.0,22.0,,5.0,
in,101.0,24.0,,5.0,
recent,102.0,27.0,DATE,5.0,
years,103.0,34.0,DATE,5.0,
",",104.0,39.0,,5.0,
been,105.0,41.0,,5.0,
taken,106.0,46.0,,5.0,
up,107.0,52.0,,5.0,
again,108.0,55.0,,5.0,
internationally,109.0,61.0,,5.0,
",",110.0,76.0,,5.0,
but,111.0,78.0,,5.0,
the,112.0,82.0,,5.0,
music,113.0,86.0,,5.0,
continues,114.0,92.0,,5.0,
to,115.0,102.0,,5.0,
be,116.0,105.0,,5.0,
played,117.0,108.0,,5.0,
more,118.0,115.0,,5.0,
in,119.0,120.0,,5.0,
Britain,120.0,123.0,GPE,5.0,
than,121.0,131.0,,5.0,
elsewhere,122.0,136.0,,5.0,
.,123.0,145.0,,5.0,
In,0.0,0.0,,0.0,
his,1.0,3.0,DATE,0.0,his
fifties,2.0,7.0,DATE,0.0,
",",3.0,14.0,,0.0,
Elgar,4.0,16.0,PERSON,0.0,Elgar
composed,5.0,22.0,,0.0,
a,6.0,31.0,,0.0,
symphony,7.0,33.0,,0.0,
and,8.0,42.0,,0.0,
a,9.0,46.0,,0.0,
violin,10.0,48.0,,0.0,
concerto,11.0,55.0,,0.0,
that,12.0,64.0,,0.0,
were,13.0,69.0,,0.0,
immensely,14.0,74.0,,0.0,
successful,15.0,84.0,,0.0,
.,16.0,94.0,,0.0,
His,17.0,0.0,,1.0,his
second,18.0,4.0,ORDINAL,1.0,
symphony,19.0,11.0,,1.0,
and,20.0,20.0,,1.0,
