thm_type_1,thm_type_2,thm_explanation_1,thm_explanation_2,sentenceIndex,paragraphIndex,source
Music making,Confidence value: 0.9998282,Business meeting,Confidence value: 0.00014708903,7,10,ML
Music making,Personal life,Rehearsals for a tour,Bonham's schedule,0,12,LLM
Music making,Confidence value: 0.8131272,Business meeting,Confidence value: 0.09913885,4,12,ML
Coincidence,Confidence value: 0.9999894,Education,Confidence value: 7.2585103e-06,5,12,ML
Business meeting,Confidence value: 0.7575675,Education,Confidence value: 0.21169992,6,12,ML
Business meeting,Confidence value: 0.83392555,Personal life,Confidence value: 0.15217252,7,12,ML
Coincidence,Confidence value: 0.8934436,Business meeting,Confidence value: 0.056958884,10,12,ML
Public celebration,Confidence value: 0.9923751,Coincidence,Confidence value: 0.0035719692,11,12,ML
Business meeting,Confidence value: 0.9980136,Personal life,Confidence value: 0.0010100903,13,12,ML
Business meeting,Confidence value: 0.5814776,Personal life,Confidence value: 0.40323022,0,14,ML
Business meeting,Confidence value: 0.9991911,Music making,Confidence value: 0.0004938466,1,15,ML
Music making,Confidence value: 0.6015848,Business meeting,Confidence value: 0.39818206,2,15,ML
Music making,Confidence value: 0.9977271,Business meeting,Confidence value: 0.0021684486,4,15,ML
Coincidence,Confidence value: 0.4976721,Business meeting,Confidence value: 0.4223823,5,15,ML
Personal life,Confidence value: 0.64457506,Business meeting,Confidence value: 0.3341053,0,16,ML
Music making,Confidence value: 0.72855633,Business meeting,Confidence value: 0.2684894,2,16,ML
Music making,Confidence value: 0.955527,Business meeting,Confidence value: 0.041206796,1,19,ML
Music making,Confidence value: 0.9615869,Coincidence,Confidence value: 0.026981471,3,19,ML
Coincidence,Confidence value: 0.98790854,Music making,Confidence value: 0.011954827,4,19,ML
Coincidence,Confidence value: 0.9999962,Public celebration,Confidence value: 2.9380838e-06,7,19,ML
Music making,Confidence value: 0.53299594,Business meeting,Confidence value: 0.46688262,8,19,ML
Coincidence,Confidence value: 0.9993519,Public celebration,Confidence value: 0.000647723,1,21,ML
Coincidence,Confidence value: 0.8306777,Music making,Confidence value: 0.07520572,0,23,ML
Music making,Confidence value: 0.6078965,Education,Confidence value: 0.23182885,0,25,ML
Business meeting,Confidence value: 0.9963536,Coincidence,Confidence value: 0.0028676009,1,25,ML
Coincidence,Confidence value: 0.93999654,Education,Confidence value: 0.03242892,0,28,ML
Public celebration,Confidence value: 0.96091247,Business meeting,Confidence value: 0.038421772,1,28,ML
Business meeting,Confidence value: 0.99999297,Music making,Confidence value: 5.345569e-06,0,29,ML
Coincidence,Confidence value: 0.9080343,Music making,Confidence value: 0.09058192,0,37,ML
Music making,Personal life,Event honoring John Bonham,Anniversary of his death,0,38,LLM
Music making,Confidence value: 0.9911986,Public celebration,Confidence value: 0.008801096,3,38,ML
Music making,Confidence value: 0.99908197,Coincidence,Confidence value: 0.0005249728,0,41,ML
Coincidence,Confidence value: 0.9745268,Music making,Confidence value: 0.024621587,0,43,ML
Music making,Confidence value: 0.5000907,Education,Confidence value: 0.498526,4,44,ML
