thm_type_1,thm_type_2,thm_explanation_1,thm_explanation_2,sentenceIndex,paragraphIndex,source
Business meeting,Confidence value: 0.99771726,Music making,Confidence value: 0.0013652232,7,20,ML
Music making,Confidence value: 1.0,Education,Confidence value: 3.763472e-08,8,20,ML
Business meeting,Confidence value: 0.97865784,Coincidence,Confidence value: 0.021341214,9,20,ML
Coincidence,Confidence value: 0.8484276,Business meeting,Confidence value: 0.13615847,1,22,ML
Public celebration,Confidence value: 0.8210192,Music making,Confidence value: 0.158166,3,22,ML
Music making,Education,Performing classical project,Learning about planets,4,22,LLM
Coincidence,Confidence value: 0.93423927,Education,Confidence value: 0.06320266,5,24,ML
Music making,Business meeting,Creation of a music album,Collaboration between musicians,10,24,LLM
Music making,Confidence value: 0.99998975,Public celebration,Confidence value: 6.1479827e-06,0,26,ML
Business meeting,Confidence value: 0.99841225,Music making,Confidence value: 0.0008348552,3,26,ML
Public celebration,Confidence value: 0.9585555,Business meeting,Confidence value: 0.03972958,0,27,ML
Public celebration,Confidence value: 0.8408843,Business meeting,Confidence value: 0.09582997,1,27,ML
Public celebration,Confidence value: 0.9571707,Education,Confidence value: 0.04256079,2,27,ML
Music making,Confidence value: 0.76445824,Public celebration,Confidence value: 0.114030674,3,27,ML
Music making,Confidence value: 0.9879289,Education,Confidence value: 0.010863902,6,27,ML
Public celebration,Confidence value: 0.95396984,Music making,Confidence value: 0.03375866,7,27,ML
Coincidence,Confidence value: 0.85378355,Public celebration,Confidence value: 0.1332202,8,27,ML
Public celebration,Confidence value: 0.9484896,Music making,Confidence value: 0.04957108,10,27,ML
Business meeting,Confidence value: 0.9902602,Music making,Confidence value: 0.008245923,11,27,ML
Business meeting,Confidence value: 0.91170967,Music making,Confidence value: 0.048940156,0,28,ML
Business meeting,Confidence value: 0.99998224,Education,Confidence value: 1.7690434e-05,1,28,ML
Education,Confidence value: 0.9108428,Business meeting,Confidence value: 0.08898109,0,30,ML
Coincidence,Confidence value: 0.99274105,Public celebration,Confidence value: 0.0072589247,2,36,ML
Coincidence,Confidence value: 0.99889934,Business meeting,Confidence value: 0.0009125686,5,36,ML
Coincidence,Confidence value: 0.96379834,Education,Confidence value: 0.033030514,6,36,ML
Coincidence,Confidence value: 0.8321538,Public celebration,Confidence value: 0.16500016,7,36,ML
Business meeting,Confidence value: 0.9693312,Coincidence,Confidence value: 0.015033848,0,38,ML
Business meeting,Confidence value: 0.98313475,Public celebration,Confidence value: 0.016440503,1,38,ML
Business meeting,Confidence value: 0.7131188,Education,Confidence value: 0.25353566,3,38,ML
Education,Confidence value: 0.9683814,Music making,Confidence value: 0.030936854,0,51,ML
Business meeting,Confidence value: 0.7836479,Personal life,Confidence value: 0.18163724,0,52,ML
Business meeting,Confidence value: 0.48867637,Personal life,Confidence value: 0.40172195,0,53,ML
Education,Confidence value: 0.9983144,Personal life,Confidence value: 0.0016794292,0,54,ML
