thm_type_1,thm_type_2,thm_explanation_1,thm_explanation_2,sentenceIndex,paragraphIndex,source
Music making,Confidence value: 0.8320922,Education,Confidence value: 0.109592095,26,9,ML
Business meeting,Confidence value: 0.9999987,Personal life,Confidence value: 1.259743e-06,28,9,ML
Business meeting,Confidence value: 0.93747157,Public celebration,Confidence value: 0.06227753,33,9,ML
Public celebration,Confidence value: 0.7406741,Business meeting,Confidence value: 0.2589774,34,9,ML
Public celebration,Confidence value: 0.98775893,Business meeting,Confidence value: 0.0062609143,35,9,ML
Public celebration,Confidence value: 0.6901113,Business meeting,Confidence value: 0.30988663,36,9,ML
Coincidence,Confidence value: 0.9876435,Public celebration,Confidence value: 0.011186104,37,9,ML
Coincidence,Confidence value: 0.9882323,Education,Confidence value: 0.009811661,42,9,ML
Public celebration,Confidence value: 0.9963834,Business meeting,Confidence value: 0.0036161856,45,9,ML
Coincidence,Confidence value: 0.97926533,Business meeting,Confidence value: 0.008495202,0,11,ML
Coincidence,Confidence value: 0.9994444,Personal life,Confidence value: 0.00038901257,6,11,ML
Coincidence,Confidence value: 0.99611974,Music making,Confidence value: 0.0028621892,9,11,ML
Coincidence,Confidence value: 0.99719393,Education,Confidence value: 0.0026153752,13,11,ML
Education,Confidence value: 0.5848237,Coincidence,Confidence value: 0.40077928,16,11,ML
Coincidence,Confidence value: 0.98777276,Education,Confidence value: 0.012126718,17,11,ML
Coincidence,Confidence value: 0.9514114,Public celebration,Confidence value: 0.025515726,18,11,ML
Business meeting,Confidence value: 0.99750334,Public celebration,Confidence value: 0.0023822424,23,11,ML
Public celebration,Confidence value: 0.99909735,Coincidence,Confidence value: 0.00047636448,24,11,ML
Coincidence,Confidence value: 0.86296487,Business meeting,Confidence value: 0.1370113,27,11,ML
Coincidence,Confidence value: 0.99989057,Education,Confidence value: 0.00010892033,0,13,ML
Business meeting,Confidence value: 0.8494626,Public celebration,Confidence value: 0.13098727,8,13,ML
Music making,Confidence value: 0.66534984,Business meeting,Confidence value: 0.30255854,10,13,ML
Coincidence,Confidence value: 0.99866796,Education,Confidence value: 0.0013316473,13,13,ML
Education,Confidence value: 0.99979526,Personal life,Confidence value: 0.00020475528,17,13,ML
Personal life,Confidence value: 0.87426424,Public celebration,Confidence value: 0.07030555,18,13,ML
Coincidence,Confidence value: 0.88217217,Education,Confidence value: 0.11264586,20,13,ML
Coincidence,Confidence value: 0.9999703,Education,Confidence value: 2.0359073e-05,21,13,ML
Coincidence,Confidence value: 0.9999814,Education,Confidence value: 1.0430453e-05,25,13,ML
Coincidence,Confidence value: 0.9990932,Public celebration,Confidence value: 0.0009068958,26,13,ML
Coincidence,Confidence value: 0.99958116,Business meeting,Confidence value: 0.00036719016,29,13,ML
Public celebration,Confidence value: 0.9864802,Education,Confidence value: 0.012820514,33,13,ML
Coincidence,Confidence value: 0.7654252,Education,Confidence value: 0.23457284,39,13,ML
Education,Confidence value: 0.9429508,Coincidence,Confidence value: 0.03942955,40,13,ML
Coincidence,Confidence value: 0.8175375,Business meeting,Confidence value: 0.1822659,0,15,ML
Business meeting,Confidence value: 0.78826183,Coincidence,Confidence value: 0.18914863,1,15,ML
Business meeting,Confidence value: 0.8589992,Public celebration,Confidence value: 0.13906835,5,15,ML
Coincidence,Confidence value: 0.99948514,Business meeting,Confidence value: 0.00029287877,6,15,ML
Coincidence,Confidence value: 0.99113524,Public celebration,Confidence value: 0.008843413,8,15,ML
Music making,Personal life,The comments were about T-Series removing artists' songs,Kjellberg's clarification on Twitter,9,15,LLM
Business meeting,Confidence value: 0.99990547,Coincidence,Confidence value: 9.223647e-05,14,15,ML
Coincidence,Confidence value: 0.9979315,Business meeting,Confidence value: 0.002067627,15,15,ML
Business meeting,Confidence value: 0.99512285,Coincidence,Confidence value: 0.0036977194,19,15,ML
Public celebration,Confidence value: 0.6533839,Business meeting,Confidence value: 0.33273965,20,15,ML
Coincidence,Confidence value: 0.99993825,Education,Confidence value: 5.5607346e-05,21,15,ML
Coincidence,Confidence value: 0.9978684,Public celebration,Confidence value: 0.0011031504,26,15,ML
Business meeting,Confidence value: 0.9878023,Education,Confidence value: 0.010926131,27,15,ML
Public celebration,Coincidence,A public celebration of PewDiePie's popularity,A coincidence of the plane flying over New York City,28,15,LLM
Public celebration,Confidence value: 0.9975776,Education,Confidence value: 0.0020755532,0,17,ML
Public celebration,Confidence value: 0.7521362,Coincidence,Confidence value: 0.13020387,3,17,ML
Business meeting,Confidence value: 0.7546185,Public celebration,Confidence value: 0.12092672,7,17,ML
Coincidence,Confidence value: 0.9999795,Music making,Confidence value: 1.854414e-05,9,17,ML
Coincidence,Confidence value: 0.5870493,Education,Confidence value: 0.40802717,10,17,ML
Business meeting,Confidence value: 0.9868189,Public celebration,Confidence value: 0.012282874,11,17,ML
Business meeting,Confidence value: 0.9999193,Public celebration,Confidence value: 5.2087293e-05,13,17,ML
Education,Confidence value: 0.9986588,Coincidence,Confidence value: 0.0013192695,15,17,ML
Personal life,Coincidence,Individual's personal circumstances,Unforeseen connection or occurrence,16,17,LLM
Public celebration,Confidence value: 0.99876404,Coincidence,Confidence value: 0.0005381844,17,17,ML
Business meeting,Confidence value: 0.9636085,Coincidence,Confidence value: 0.025647957,18,17,ML
Business meeting,Confidence value: 0.996258,Personal life,Confidence value: 0.0037314028,19,17,ML
Business meeting,Confidence value: 0.9999925,Education,Confidence value: 5.0101858e-06,0,19,ML
Business meeting,Confidence value: 0.9709201,Coincidence,Confidence value: 0.028887488,1,19,ML
Coincidence,Confidence value: 0.952067,Education,Confidence value: 0.047819637,2,19,ML
Personal life,Confidence value: 0.72767854,Music making,Confidence value: 0.1883356,5,19,ML
Public celebration,Confidence value: 0.96141857,Education,Confidence value: 0.035597797,7,19,ML
Business meeting,Confidence value: 0.9840948,Personal life,Confidence value: 0.012525943,8,19,ML
Music making,Confidence value: 0.619432,Business meeting,Confidence value: 0.21369414,9,19,ML
Coincidence,Confidence value: 0.8934989,Business meeting,Confidence value: 0.106482886,10,19,ML
Business meeting,Confidence value: 0.92227644,Coincidence,Confidence value: 0.07652061,14,19,ML
Coincidence,Confidence value: 0.50320995,Education,Confidence value: 0.4926334,6,22,ML
Coincidence,Confidence value: 0.3240496,Music making,Confidence value: 0.26874876,2,24,ML
Coincidence,Confidence value: 1.0,Public celebration,Confidence value: 4.169711e-08,4,24,ML
Coincidence,Confidence value: 0.8703347,Business meeting,Confidence value: 0.12612544,7,24,ML
Coincidence,Confidence value: 0.9345828,Education,Confidence value: 0.05461356,8,24,ML
Public celebration,Confidence value: 0.9963834,Business meeting,Confidence value: 0.0036161856,9,24,ML
Coincidence,Confidence value: 0.9759287,Business meeting,Confidence value: 0.02373989,11,24,ML
Coincidence,Confidence value: 0.99706995,Education,Confidence value: 0.002583948,12,24,ML
Coincidence,Confidence value: 0.92168033,Public celebration,Confidence value: 0.07818414,4,26,ML
Business meeting,Confidence value: 0.9017727,Public celebration,Confidence value: 0.09759169,5,26,ML
Public celebration,Confidence value: 0.99205506,Coincidence,Confidence value: 0.0075277877,6,26,ML
Public celebration,Confidence value: 0.63356066,Business meeting,Confidence value: 0.3637185,7,26,ML
Business meeting,Confidence value: 0.95593154,Public celebration,Confidence value: 0.043750994,8,26,ML
Public celebration,Confidence value: 0.9958984,Business meeting,Confidence value: 0.00406657,9,26,ML
Public celebration,Confidence value: 0.9954823,Business meeting,Confidence value: 0.0044863075,10,26,ML
Public celebration,Confidence value: 0.7928913,Business meeting,Confidence value: 0.20704776,11,26,ML
Business meeting,Confidence value: 0.8233548,Public celebration,Confidence value: 0.17664474,12,26,ML
Coincidence,Confidence value: 0.66998464,Business meeting,Confidence value: 0.24436393,13,26,ML
Business meeting,Confidence value: 0.99896157,Public celebration,Confidence value: 0.00064891396,14,26,ML
Business meeting,Confidence value: 0.9999049,Public celebration,Confidence value: 9.4558e-05,15,26,ML
Music making,Confidence value: 0.75447,Personal life,Confidence value: 0.24398114,17,26,ML
Coincidence,Confidence value: 0.9974292,Business meeting,Confidence value: 0.002201851,18,26,ML
Music making,Confidence value: 0.75826365,Coincidence,Confidence value: 0.238604,19,26,ML
Public celebration,Confidence value: 0.945759,Business meeting,Confidence value: 0.054130163,20,26,ML
Business meeting,Confidence value: 0.9573381,Public celebration,Confidence value: 0.04250339,21,26,ML
Business meeting,Confidence value: 0.99778384,Public celebration,Confidence value: 0.0022134066,23,26,ML
Business meeting,Confidence value: 0.9714138,Coincidence,Confidence value: 0.024141701,24,26,ML
Business meeting,Confidence value: 0.9999074,Coincidence,Confidence value: 6.531781e-05,25,26,ML
Public celebration,Confidence value: 0.79308563,Education,Confidence value: 0.15734565,26,26,ML
Business meeting,Confidence value: 0.9991258,Public celebration,Confidence value: 0.00086373533,27,26,ML
Education,Confidence value: 0.60048866,Coincidence,Confidence value: 0.3881247,29,26,ML
Business meeting,Confidence value: 0.9970067,Public celebration,Confidence value: 0.0023269097,30,26,ML
Business meeting,Confidence value: 0.8589992,Public celebration,Confidence value: 0.13906835,31,26,ML
Business meeting,Confidence value: 0.8323837,Coincidence,Confidence value: 0.15910578,32,26,ML
Business meeting,Confidence value: 0.99990547,Coincidence,Confidence value: 9.223647e-05,33,26,ML
Business meeting,Confidence value: 0.94131917,Public celebration,Confidence value: 0.058652703,34,26,ML
Coincidence,Confidence value: 0.4253287,Public celebration,Confidence value: 0.29909226,35,26,ML
Public celebration,Confidence value: 0.5631706,Business meeting,Confidence value: 0.31704924,37,26,ML
Music making,Confidence value: 0.8402275,Public celebration,Confidence value: 0.147603,40,26,ML
Public celebration,Confidence value: 0.99813795,Coincidence,Confidence value: 0.0018200304,41,26,ML
Coincidence,Confidence value: 0.9999726,Education,Confidence value: 2.69323e-05,14,31,ML
Coincidence,Confidence value: 0.99108934,Public celebration,Confidence value: 0.008871266,3,35,ML
Public celebration,Confidence value: 0.9084912,Coincidence,Confidence value: 0.09148622,0,37,ML
Coincidence,Confidence value: 0.9984378,Education,Confidence value: 0.0015542,5,37,ML
Coincidence,Confidence value: 0.81023425,Public celebration,Confidence value: 0.17270043,2,38,ML
Business meeting,Confidence value: 0.99951017,Personal life,Confidence value: 0.00042792628,9,38,ML
Public celebration,Confidence value: 0.9998122,Business meeting,Confidence value: 0.00018208285,4,40,ML
Business meeting,Confidence value: 0.5262238,Coincidence,Confidence value: 0.47109014,5,40,ML
Coincidence,Confidence value: 0.9999138,Education,Confidence value: 2.7037413e-05,6,40,ML
Coincidence,Confidence value: 0.99999166,Education,Confidence value: 7.878793e-06,10,40,ML
Public celebration,Confidence value: 0.9530694,Coincidence,Confidence value: 0.04360601,11,40,ML
Public celebration,Confidence value: 0.9999877,Coincidence,Confidence value: 1.1771035e-05,12,40,ML
Personal life,Education,Influence of YouTube personalities,Survey on popularity among teenagers,2,42,LLM
Coincidence,Confidence value: 0.9260116,Public celebration,Confidence value: 0.072868,5,42,ML
Coincidence,Confidence value: 0.99922156,Public celebration,Confidence value: 0.00077042944,6,42,ML
Personal life,Confidence value: 0.887352,Coincidence,Confidence value: 0.09533493,7,42,ML
Coincidence,Confidence value: 0.99873894,Public celebration,Confidence value: 0.0011894327,8,42,ML
Coincidence,Confidence value: 0.9999945,Public celebration,Confidence value: 3.0675822e-06,10,42,ML
Coincidence,Confidence value: 0.9999999,Business meeting,Confidence value: 9.020078e-08,11,42,ML
Public celebration,Confidence value: 0.9992955,Coincidence,Confidence value: 0.0005095925,13,42,ML
Coincidence,Confidence value: 0.9999801,Personal life,Confidence value: 1.832122e-05,15,42,ML
Coincidence,Confidence value: 0.95247334,Personal life,Confidence value: 0.03125942,16,42,ML
Education,Confidence value: 0.99273044,Coincidence,Confidence value: 0.007267669,17,42,ML
Coincidence,Confidence value: 0.9815652,Public celebration,Confidence value: 0.018430121,19,42,ML
Coincidence,Confidence value: 0.98997855,Personal life,Confidence value: 0.009788001,6,44,ML
Music making,Confidence value: 0.9957884,Personal life,Confidence value: 0.0036174464,12,44,ML
Personal life,Confidence value: 0.6317808,Coincidence,Confidence value: 0.36318493,13,44,ML
Public celebration,Confidence value: 0.8917831,Coincidence,Confidence value: 0.10253248,0,46,ML
Public celebration,Confidence value: 0.95756125,Business meeting,Confidence value: 0.030159153,1,46,ML
Public celebration,Confidence value: 0.5070763,Business meeting,Confidence value: 0.4889998,2,46,ML
Public celebration,Confidence value: 0.99132454,Coincidence,Confidence value: 0.00849425,3,46,ML
Public celebration,Confidence value: 0.60301363,Business meeting,Confidence value: 0.37360927,4,46,ML
Education,Confidence value: 0.99986243,Business meeting,Confidence value: 0.00013222637,5,46,ML
Coincidence,Confidence value: 0.8008578,Education,Confidence value: 0.19839783,6,46,ML
Coincidence,Confidence value: 0.5314568,Business meeting,Confidence value: 0.3577007,7,46,ML
Public celebration,Confidence value: 0.5216454,Coincidence,Confidence value: 0.47427762,8,46,ML
Music making,Confidence value: 0.9286459,Coincidence,Confidence value: 0.0627751,4,49,ML
Coincidence,Confidence value: 0.9998518,Personal life,Confidence value: 0.000120138844,0,51,ML
Coincidence,Confidence value: 0.9998331,Business meeting,Confidence value: 0.00014435044,4,51,ML
Coincidence,Confidence value: 0.8132876,Public celebration,Confidence value: 0.18147255,5,51,ML
Personal life,Confidence value: 0.5110229,Business meeting,Confidence value: 0.257154,10,51,ML
Business meeting,Confidence value: 0.42925695,Coincidence,Confidence value: 0.40467358,1,53,ML
Coincidence,Confidence value: 0.8123076,Public celebration,Confidence value: 0.1693274,2,53,ML
Coincidence,Confidence value: 0.9380152,Education,Confidence value: 0.061349247,3,53,ML
Personal life,Confidence value: 0.999705,Public celebration,Confidence value: 0.00015945801,4,53,ML
Coincidence,Confidence value: 0.9999709,Education,Confidence value: 2.7816479e-05,8,53,ML
Music making,Confidence value: 0.48024124,Personal life,Confidence value: 0.392777,12,53,ML
Public celebration,Confidence value: 0.89150476,Coincidence,Confidence value: 0.10825623,13,53,ML
Coincidence,Confidence value: 0.99783367,Music making,Confidence value: 0.00216636,14,53,ML
Education,Confidence value: 0.6191793,Public celebration,Confidence value: 0.29448172,15,53,ML
Public celebration,Confidence value: 0.9830095,Coincidence,Confidence value: 0.016983325,1,55,ML
Coincidence,Confidence value: 0.6836125,Public celebration,Confidence value: 0.28675282,2,55,ML
Coincidence,Confidence value: 0.82125056,Public celebration,Confidence value: 0.17737083,6,55,ML
Personal life,Confidence value: 0.99955803,Coincidence,Confidence value: 0.00035814274,7,55,ML
Public celebration,Confidence value: 0.8813142,Personal life,Confidence value: 0.09900069,9,55,ML
Public celebration,Confidence value: 0.9999913,Coincidence,Confidence value: 8.220444e-06,13,55,ML
Personal life,Confidence value: 0.7953979,Music making,Confidence value: 0.119856946,16,55,ML
Public celebration,Confidence value: 0.8745855,Music making,Confidence value: 0.1184169,17,55,ML
Public celebration,Confidence value: 0.9774409,Music making,Confidence value: 0.011436338,19,55,ML
Public celebration,Confidence value: 0.94622356,Coincidence,Confidence value: 0.053148042,22,55,ML
Business meeting,Confidence value: 0.9908448,Public celebration,Confidence value: 0.008506424,23,55,ML
Education,Confidence value: 0.99166226,Personal life,Confidence value: 0.0083363345,26,55,ML
Education,Confidence value: 0.92810845,Business meeting,Confidence value: 0.06271586,28,55,ML
Personal life,Confidence value: 0.9994344,Education,Confidence value: 0.0005652882,29,55,ML
Public celebration,Confidence value: 0.99809915,Coincidence,Confidence value: 0.0006861199,31,55,ML
Personal life,Confidence value: 0.93758726,Music making,Confidence value: 0.032827064,32,55,ML
Personal life,Confidence value: 0.99991596,Coincidence,Confidence value: 4.99034e-05,0,57,ML
Personal life,Coincidence,Relationship between two individuals,Meeting through a mutual friend,1,57,LLM
Personal life,Education,Relationship and relocation,International travel and settling,2,57,LLM
Business meeting,Confidence value: 0.79087347,Coincidence,Confidence value: 0.18169646,3,57,ML
Coincidence,Confidence value: 0.99360067,Education,Confidence value: 0.0036665397,4,57,ML
Personal life,Confidence value: 0.82715124,Coincidence,Confidence value: 0.1594717,6,57,ML
Personal life,Confidence value: 0.6610424,Business meeting,Confidence value: 0.32832906,7,57,ML
Coincidence,Confidence value: 0.7769672,Personal life,Confidence value: 0.13238308,9,57,ML
