paragraph,paragraphIndex,section
"CooRie is a self-produced Japanese music unit by singer-songwriter Rino that performs songs for anime and games. CooRie used to be a two-person unit when it debuted in 2003, with Rino doing the lyrics and vocals and Naoyuki Osada (長田直之, Osada Naoyuki) doing the music compositions and arrangements. After Osada left by the end of 2003, Rino maintained the name CooRie and composed the music by herself, although she sometimes sings under her own name, especially if the song is for adult games. CooRie's records are released under Lantis and Mellow Head (On the Run).
",0,N/A
"== Discography ==
",1,== Discography ==
"君にヘッドフォン / Kimi ni Headphone
",101,== Discography == | === Albums ===
"IF：この世界で / IF: Kono Sekai de
",102,== Discography == | === Albums ===
"幸せになるために / Shiawase ni Naru Tame ni5th album: Heavenly Days (Released October 20, 2010) LHCA-5121ノスタルジアに愛を込めて / Nostalgia ni Ai wo Komete
",103,== Discography == | === Albums ===
"夢想庭園 / Musō Teien
",104,== Discography == | === Albums ===
"煌めきHarmonics / Kirameki Harmonics – anime television Sora no Manimani insert song
",105,== Discography == | === Albums ===
"闇に咲く星のように / Yami ni Saku Hoshi no Yō ni
",106,== Discography == | === Albums ===
"星屑のサラウンド / Hoshikuzu no Surround
",107,== Discography == | === Albums ===
"音速タイムマシンに乗って / Onsoku Time Machine ni Notte
",108,== Discography == | === Albums ===
"金色の風景 / Kin-iro no Fuukei — Bungaku Shōjo to Yumeutsutsu no Melody image song
",109,== Discography == | === Albums ===
"風をあつめて 〜CooRie Bossa Mix Version〜 / Kaze wo Atsumete ~CooRie Bossa Mix Version~
",110,== Discography == | === Albums ===
"Like A Music
",111,== Discography == | === Albums ===
"My Dearest – PC game Kotori Love Ex P theme song
",112,== Discography == | === Albums ===
"めぐり愛逢い / Meguri Ai Ai
",113,== Discography == | === Albums ===
"桜風 / Sakura Kaze – PC game D.C. II Fall in Love ~Da Capo II~Fall in Love grand ending theme
",114,== Discography == | === Albums ===
"Heavenly Days — Maria-sama ga Miteru movie themeCompilation album: Brillant (Released April 4, 2013) LACA-9279 ～ LACA-9280
",115,== Discography == | === Albums ===
"disc – 1
",116,== Discography == | === Albums ===
"大切な願い / Taisetsu na Negai
",117,== Discography == | === Albums ===
"流れ星☆ / Nagareboshi
",118,== Discography == | === Albums ===
"Dream～the ally of～
",119,== Discography == | === Albums ===
"存在 / Sonzai
",120,== Discography == | === Albums ===
"未来へのMelody / Mirai he no Melody
",121,== Discography == | === Albums ===
"センチメンタル / Sentimental
",122,== Discography == | === Albums ===
"いろは / Iroha
",123,== Discography == | === Albums ===
"あなたと言う時間 / Anata to Iu Jikan
",124,== Discography == | === Albums ===
"旋律のフレア / Senritsu no Flare
",125,== Discography == | === Albums ===
"君DK / Kimi DK
",126,== Discography == | === Albums ===
"ウソツキ / Usotuski
",127,== Discography == | === Albums ===
"Spring has come
",128,== Discography == | === Albums ===
"優しさは雨のように / Yasahisa ha Ame no Youni
",129,== Discography == | === Albums ===
"君が望む永遠 / Kimi ga Nozomu Eien
",130,== Discography == | === Albums ===
"disc – 2
",131,== Discography == | === Albums ===
"クロス＊ハート / Cross Heart
",132,== Discography == | === Albums ===
"光のシルエット / Hikari no Silhouette
",133,== Discography == | === Albums ===
"暁に咲く詩 / Akatsuki ni Saku Uta
",134,== Discography == | === Albums ===
"僕たちの行方 / Bokutachi no Yukue
",135,== Discography == | === Albums ===
"雨上がり君のもとへ / Ameagari Kimi no Moto he
",136,== Discography == | === Albums ===
"パルトネール / Partenaire
",137,== Discography == | === Albums ===
"星屑のサラウンド / Hoshikuzu no Surround
",138,== Discography == | === Albums ===
"Thank you for the Music
",139,== Discography == | === Albums ===
"IF：この世界で / IF – Kono Sekai de
",140,== Discography == | === Albums ===
"夢想庭園 / Musou Teien
",141,== Discography == | === Albums ===
"Heavenly Days
",142,== Discography == | === Albums ===
"水性メロディ / Suisei Melody
",143,== Discography == | === Albums ===
"All is Love for you
",144,== Discography == | === Albums ===
"秘密 / Himitsu
",145,== Discography == | === Albums ===
"Self Cover album: Melodium (Released December 18, 2013) LACA-15363DreamRiser
",146,== Discography == | === Albums ===
"Super Noisy Nova
",147,== Discography == | === Albums ===
"いじわるな恋 / Ijiwaru na Koi
",148,== Discography == | === Albums ===
"残酷な願いの中で / Zankoku na Negai no Naka de
",149,== Discography == | === Albums ===
"ナミダで咲く花 / Namida de Saku Hana
",150,== Discography == | === Albums ===
"宿題 / Shukudai
",151,== Discography == | === Albums ===
"陽だまりドライブ / Hidamari Drive
",152,== Discography == | === Albums ===
"心の窓辺にて / Kokoro no Madobe Nite
",153,== Discography == | === Albums ===
"君と愛になる / Kimi to Ai ni Naru
",154,== Discography == | === Albums ===
"Brand-new Season
",155,== Discography == | === Albums ===
"透明な羽根で / Toumei no Hana de
",156,== Discography == | === Albums ===
"PIANOTESelf Cover album: Melodium2 (Released December 9, 2015) LACA-15532Planet Freedom
",157,== Discography == | === Albums ===
"Sentimental Venus
",158,== Discography == | === Albums ===
"REFLECTION
",159,== Discography == | === Albums ===
"ひだまり笑顔 / Hida mari egao
",160,== Discography == | === Albums ===
"ハルモニア/ Harumonia
",161,== Discography == | === Albums ===
"Melodium6th Album セツナポップに焦がされて / Setsuna Pop ni Kogasarete  (Released December 20, 2017) LACA-15668エクレア / Ekurea
",162,== Discography == | === Albums ===
"セツナポップに焦がされて / Setsuna Pop ni Kogasarete
",163,== Discography == | === Albums ===
"Rearhythm -Album ver-
",164,== Discography == | === Albums ===
"愛しさの雫 / Itoshisa no shizuku
",165,== Discography == | === Albums ===
"終わらないPrelude / Owaranai Prelude
",166,== Discography == | === Albums ===
"HAPPY CRESCENDO
",167,== Discography == | === Albums ===
"フラクタル / Furakutaru (Fractal)
",168,== Discography == | === Albums ===
"春風とクリシェ / Harukaze to kurishe
",169,== Discography == | === Albums ===
"MISTY LOVE
",170,== Discography == | === Albums ===
"キミとMUSIC -Album ver- / Kimi to MUSIC -Album ver-
",171,== Discography == | === Albums ===
"VOICE SONG
",172,== Discography == | === Albums ===
"BON-BON
",173,== Discography == | === Albums ===
"=== Other ===
",174,== Discography == | === Other ===
"2003-12-26: Onegai Twins Image Vocal Album: Esquisse — episode 6 image song ""Kiss no Meiro"" (キスの迷路)
",175,== Discography == | === Other ===
"2006-09-21: PlayStation 2 Game Strawberry Panic! Original Sound Track — opening theme ""Sweetest""
",176,== Discography == | === Other ===
"2006-10-25: ""MUV-LUV"" collection of Standard Edition songs: divergence — Muv-Luv Extra Miki Tamase ending theme ""Little More"" (リトル・モア)
",177,== Discography == | === Other ===
"2007-05-23: D.C. II Spring Celebration Vocal Mini Album: Songs from D.C. II Spring Celebration — grand ending theme ""Sakura no Hane: Endless memory"" (桜の羽根～Endless memory～)
",178,== Discography == | === Other ===
"2007-08-22: School Days Ending Theme+ — anime television ending theme ""Usotsuki"" (ウソツキ)
",179,== Discography == | === Other ===
"== References ==
",180,== References ==
"== External links ==
",181,== External links ==
"CooRie Official Blog
",182,== External links ==
"CooRie Official Web Site (Unupdated)
",183,== External links ==
CooRie Lantis website,184,== External links ==
