paragraph,paragraphIndex,section
"Marina Inoue (井上 麻里奈, Inoue Marina, born January 20, 1985) is a Japanese voice actress and singer from Tokyo, Japan. She is affiliated with Aoni Production. She was signed into Aniplex until 2007. She was chosen out of 2,000 people from the ""Gonna be a star"" auditions (hosted by Sony Music Entertainment Japan) for the title role in the OVA Le Portrait de Petit Cossette.
",0,N/A
"== Filmography ==
",1,== Filmography ==
"Wizard Barristers: Benmashi Cecil (Quinn Erari)
",86,== Filmography == | === Television animation ===
"Pocket Monsters XY (Elle (Aria in English))2015Attack on Titan: Junior High (Armin Arlert, Narrator)
",87,== Filmography == | === Television animation ===
"Chaos Dragon (Ibuki)
",88,== Filmography == | === Television animation ===
"Log Horizon 2 (Kanami)
",89,== Filmography == | === Television animation ===
"Owarimonogatari (Sodachi Oikura)
",90,== Filmography == | === Television animation ===
"Punchline (Yūta Iritatsu)
",91,== Filmography == | === Television animation ===
"Magical Girl Lyrical Nanoha Vivid (Erio Mondial, Cinque Nakajima, Wendy Nakajima)
",92,== Filmography == | === Television animation ===
"Rin-ne (Sakura Mamiya)
",93,== Filmography == | === Television animation ===
"Unlimited Fafnir (Kili Surt Muspelheim)
",94,== Filmography == | === Television animation ===
"My Teen Romantic Comedy SNAFU TOO! (Yumiko Miura)
",95,== Filmography == | === Television animation ===
"Gintama (Ikeda Asaemon)2016My Hero Academia (Momo Yaoyorozu)
",96,== Filmography == | === Television animation ===
"Beyblade Burst (Valt Aoi)
",97,== Filmography == | === Television animation ===
"Crayon Shin Chan (Samurai Girl (Ep. 902))
",98,== Filmography == | === Television animation ===
"Rin-ne Season 2 (Sakura Mamiya)
",99,== Filmography == | === Television animation ===
"March Comes in like a Lion (Kyouko Kouda)
",100,== Filmography == | === Television animation ===
"Magic Kyun! Renaissance (Louis Anjō (child))2017Attack on Titan Season 2 (Armin Arlert, narrator)
",101,== Filmography == | === Television animation ===
"My Hero Academia Season 2 (Momo Yaoyorozu)
",102,== Filmography == | === Television animation ===
"Beyblade Burst God (Valt Aoi)
",103,== Filmography == | === Television animation ===
"Rin-ne Season 3 (Sakura Mamiya)
",104,== Filmography == | === Television animation ===
"March Comes in like a Lion 2nd Season (Kyouko Kouda)
",105,== Filmography == | === Television animation ===
"Owarimonogatari Season 2 (Sodachi Oikura)2018Laid-Back Camp (Sakura Kagamihara)
",106,== Filmography == | === Television animation ===
"Darling in the Franxx (Nana)
",107,== Filmography == | === Television animation ===
"The Seven Deadly Sins: Revival of the Commandments (Jericho)
",108,== Filmography == | === Television animation ===
"Beyblade Burst Super Z (Valt Aoi, Naru Akaba)
",109,== Filmography == | === Television animation ===
"My Hero Academia Season 3 (Momo Yaoyorozu)
",110,== Filmography == | === Television animation ===
"Attack on Titan Season 3 (Armin Arlert, narrator)
",111,== Filmography == | === Television animation ===
"The Girl in Twilight (Chloé Morisu)
",112,== Filmography == | === Television animation ===
"Karakuri Circus (Vilma Thorne)2019Date A Live III (Tohka Yatogami)
",113,== Filmography == | === Television animation ===
"Beyblade Burst GT (Valt Aoi)
",114,== Filmography == | === Television animation ===
"Cop Craft (Cameron Estefan)
",115,== Filmography == | === Television animation ===
"YU-NO: A Girl Who Chants Love at the Bound of this World (Amanda)
",116,== Filmography == | === Television animation ===
"Isekai Cheat Magician (Smyera)
",117,== Filmography == | === Television animation ===
"My Hero Academia Season 4 (Momo Yaoyorozu)2020Beyblade Burst Superking (Valt Aoi)
",118,== Filmography == | === Television animation ===
"Pocket Monsters 2019 (Sonia)
",119,== Filmography == | === Television animation ===
"Jujutsu Kaisen (Mai Zenin)
",120,== Filmography == | === Television animation ===
"Warlords of Sigrdrifa (Yayoi Amatsuka)
",121,== Filmography == | === Television animation ===
"Attack on Titan: The Final Season (Armin Arlert, narrator)2021Log Horizon: Destruction of the Round Table (Kanami)
",122,== Filmography == | === Television animation ===
"Beyblade Burst Dynamite Battle (Valt Aoi)
",123,== Filmography == | === Television animation ===
"My Hero Academia Season 5 (Momo Yaoyorozu)
",124,== Filmography == | === Television animation ===
"Shinkansen Henkei Robo Shinkalion Z (Akeno Myōjō)
",125,== Filmography == | === Television animation ===
"The Honor Student at Magic High School (Mari Watanabe)
",126,== Filmography == | === Television animation ===
"The Fruit of Evolution (Artoria Gremm)2022Attack on Titan: The Final Season Part 2 (Armin Arlert, narrator)
",127,== Filmography == | === Television animation ===
"Date A Live IV (Tohka Yatogami)
",128,== Filmography == | === Television animation ===
"=== Animated films ===
",129,== Filmography == | === Animated films ===
"Doraemon: Nobita's Space Heroes (2015) (Aron)
",130,== Filmography == | === Animated films ===
"The Irregular at Magic High School The Movie: The Girl Who Calls the Stars (2017) (Mari Watanabe)
",131,== Filmography == | === Animated films ===
"Pretty Cure All Stars New Stage: Friends of the Future (2012) (Nao Midorikawa/Cure March)
",132,== Filmography == | === Animated films ===
"Smile PreCure! The Movie: Big Mismatch in a  Picture Book! (2012) (Nao Midorikawa/Cure March)
",133,== Filmography == | === Animated films ===
"Pretty Cure All Stars New Stage 2: Friends of the Heart (2013) (Nao Midorikawa/Cure March)
",134,== Filmography == | === Animated films ===
"Pretty Cure All Stars New Stage 3: Eternal Friends (2014) (Nao Midorikawa/Cure March)
",135,== Filmography == | === Animated films ===
"Hugtto! PreCure Futari wa Pretty Cure: All Stars Memories (2018) (Nao Midorikawa/Cure March)
",136,== Filmography == | === Animated films ===
"Aura: Maryūinkōga Saigo no Tatakai (Yumina Ōshima)
",137,== Filmography == | === Animated films ===
"Broken Blade (Narvi)
",138,== Filmography == | === Animated films ===
"Date A Live Movie: Mayuri Judgement (Tohka Yatogami)
",139,== Filmography == | === Animated films ===
"Goku Sayonara Zetsubou Sensei (Chiri Kitsu)
",140,== Filmography == | === Animated films ===
"Hayate the Combat Butler (Wataru Tachibana)
",141,== Filmography == | === Animated films ===
"Hidamari Sketch x 365 Specials (Tōdō)
",142,== Filmography == | === Animated films ===
"Kite Liberator (Monaka Noguchi / Sawa)
",143,== Filmography == | === Animated films ===
"Le Portrait de Petit Cossette (Cossette d'Auvergne)
",144,== Filmography == | === Animated films ===
"Negima: Ala Alba (Kotaro Inugami)
",145,== Filmography == | === Animated films ===
"Zokuowarimonogatari (2018) (Sodachi Oikura)
",146,== Filmography == | === Animated films ===
"My Hero Academia: Two Heroes (2018) (Momo Yaoyorozu)
",147,== Filmography == | === Animated films ===
"My Hero Academia: Heroes Rising (2019) (Momo Yaoyorozu)
",148,== Filmography == | === Animated films ===
"The Island of Giant Insects (2019-2020) (Enoki Inaho)
",149,== Filmography == | === Animated films ===
"Bubble (2022)
",150,== Filmography == | === Animated films ===
"=== Original video animation ===
",151,== Filmography == | === Original video animation ===
"Tokyo Marble Chocolate (2007) (Miki)
",152,== Filmography == | === Original video animation ===
"=== Video games ===
",153,== Filmography == | === Video games ===
"Ace Attorney 6 (Akane Hōzuki)
",154,== Filmography == | === Video games ===
"Action Taimanin (Su Jinglei)
",155,== Filmography == | === Video games ===
"Attack on Titan (Armin Arlet, narrator)
",156,== Filmography == | === Video games ===
"Angel Profile (Teresa)
",157,== Filmography == | === Video games ===
"Another Eden (Biaka)
",158,== Filmography == | === Video games ===
"Arcana Heart series (Petra Johanna Lagerkvist)
",159,== Filmography == | === Video games ===
"Arknights (Pallas)
",160,== Filmography == | === Video games ===
"Atelier Ayesha: The Alchemist of Dusk (Ayesha Altugle)
",161,== Filmography == | === Video games ===
"Atlantica Online - Mercenary (Necromencer Riva Fuast) Japanese voice
",162,== Filmography == | === Video games ===
"Azur Lane - MNF Jean Bart, FFNF Richelieu
",163,== Filmography == | === Video games ===
"Beyblade Burst (Valt Aoi)
",164,== Filmography == | === Video games ===
"Beyblade Burst God (Valt Aoi)
",165,== Filmography == | === Video games ===
"Beyblade Burst Battle Zero (Valt Aoi)
",166,== Filmography == | === Video games ===
"Blue Dragon (2006) (Shu)
",167,== Filmography == | === Video games ===
"Chaos Rings (Musiea)
",168,== Filmography == | === Video games ===
"Cookie Run: Kingdom (2021) (White Lily Cookie)
",169,== Filmography == | === Video games ===
"Date A Live: Rinne Utopia (Tohka Yatogami)
",170,== Filmography == | === Video games ===
"Dead or Alive Paradise (Rio Rollins Tachibana)
",171,== Filmography == | === Video games ===
"Dissidia Final Fantasy Opera Omnia (Sherlotta)
",172,== Filmography == | === Video games ===
"Dragalia Lost (Lea)
",173,== Filmography == | === Video games ===
"Dragon Quest: Heroes (Bianca Whitaker)
",174,== Filmography == | === Video games ===
"Elsword (Elesis)
",175,== Filmography == | === Video games ===
"Fate/Grand Order (Fairy Knight Gawain - Barghest)
",176,== Filmography == | === Video games ===
"Final Fantasy Type-0 (Caetuna)
",177,== Filmography == | === Video games ===
"Final Fantasy Type-0 HD (Caetuna)
",178,== Filmography == | === Video games ===
"Gakuen Utopia Manabi Straight! Kirakira Happy Festa (Mutsuki Uehara)
",179,== Filmography == | === Video games ===
"Genso Suikoden: Tsumugareshi Hyakunen no Toki (Murat)
",180,== Filmography == | === Video games ===
"Getsumen To Heiki Mina -Futatsu no Project M- (Tsukuda Mina, Tsukishiro Mina)
",181,== Filmography == | === Video games ===
"Granado Espada (Japanese version) (Calypso/Calyce)
",182,== Filmography == | === Video games ===
"Girls' Frontline (OTs-14), (6P62)
",183,== Filmography == | === Video games ===
"Hayate no Gotoku! Boku ga Romio de Romio ga Boku de (Wataru Tachibana)
",184,== Filmography == | === Video games ===
"Honkai Impact 3rd (2021), (Elysia)
",185,== Filmography == | === Video games ===
"Infinite Stratos: Archetype Breaker (2017), (Laura Bodewig)
",186,== Filmography == | === Video games ===
"Lufia: Curse of the Sinistrals (Selan)
",187,== Filmography == | === Video games ===
"Magia Record (2020), (Jun Kazari)
",188,== Filmography == | === Video games ===
"No More Heroes: Heroes' Paradise (Sylvia Christel)
",189,== Filmography == | === Video games ===
"No More Heroes: Heroes' Paradise (Sylvia Christel)
",190,== Filmography == | === Video games ===
"Omega Quintet (Momoka)
",191,== Filmography == | === Video games ===
"Persona 3 Portable (Female Protagonist)
",192,== Filmography == | === Video games ===
"Persona Q2: New Cinema Labyrinth (P3P Heroine)
",193,== Filmography == | === Video games ===
"Punishing: Gray Raven (Vera)
",194,== Filmography == | === Video games ===
"Sorairo no Fūkin -Remix- (Floria)
",195,== Filmography == | === Video games ===
"Steal Princess (Anis)
",196,== Filmography == | === Video games ===
"Street Fighter X Tekken (Christie Monteiro)
",197,== Filmography == | === Video games ===
"Super Heroine Chronicle (2014) (Laura Bodewig)
",198,== Filmography == | === Video games ===
"2nd Super Robot Wars Z (Yoko)
",199,== Filmography == | === Video games ===
"So Ra No Wo To: Otome no Quintet (Kyrie Kuon)
",200,== Filmography == | === Video games ===
"Tales of Graces (Kohak Hearts, Kamenin, Dark Kamenin)
",201,== Filmography == | === Video games ===
"Tales of Hearts (Kohak Hearts)
",202,== Filmography == | === Video games ===
"Tales of VS. (Kohak Hearts)
",203,== Filmography == | === Video games ===
"Tales of the Heroes: Twin Brave (Kohak Hearts)
",204,== Filmography == | === Video games ===
"Umineko When They Cry (Jessica Ushiromiya)
",205,== Filmography == | === Video games ===
"Valkyrie Anatomia: The Origin (Aurora)
",206,== Filmography == | === Video games ===
"Valkyria Chronicles series (Alicia Melchiott)
",207,== Filmography == | === Video games ===
"Valkyrie Connect (Compassion God Baldr)
",208,== Filmography == | === Video games ===
"Warriors All-Stars (Rio Rollins Tachibana)
",209,== Filmography == | === Video games ===
"YU-NO: A Girl Who Chants Love at the Bound of this World (2017) (Amanda)
",210,== Filmography == | === Video games ===
"My Hero: One's Justice (2018), Momo Yaoyorozu
",211,== Filmography == | === Video games ===
"Onmyoji (Yuki Douji, Oguna, Gaki)
",212,== Filmography == | === Video games ===
"Senran Kagura Peach Beach Splash (Soji)
",213,== Filmography == | === Video games ===
"=== Tokusatsu ===
",214,== Filmography == | === Tokusatsu ===
"Tensou Sentai Goseiger (Matroid Metal Alice of the Agent) (eps 33 - 44)
",215,== Filmography == | === Tokusatsu ===
"Kaizoku Sentai Gokaiger (Metal Alice of the Agent) (ep 40)
",216,== Filmography == | === Tokusatsu ===
"=== Dubbing ===
",217,== Filmography == | === Dubbing ===
"==== Live-action ====
",218,== Filmography == | ==== Live-action ====
"=== Radio ===
",219,== Filmography == | === Radio ===
"勝平&麻里奈のイジワルケイラジオ（ラジオ大阪、TBSラジオ）
",220,== Filmography == | === Radio ===
"井上麻里奈のウキウキ気分（「Heart of Angel」内 NACK5、FM大阪、FM愛知）
",221,== Filmography == | === Radio ===
"麻里奈のアニプレ情報局（ラジオ大阪、文化放送、NACK5）-->
",222,== Filmography == | === Radio ===
"== Discography ==
",223,== Discography ==
"=== Singles ===
",224,== Discography == | === Singles ===
"=== Other songs ===
",225,== Discography == | === Other songs ===
"""Keikenchi Jōshōchū"" (経験値上昇中☆) (Minami-ke theme song, with Rina Satou and Minori Chihara)
",226,== Discography == | === Other songs ===
"""Colorful Days"" (カラフルDAYS) (Minami-ke ending theme, with Rina Satou and Minori Chihara)
",227,== Discography == | === Other songs ===
"""Keikenchi Soku Joujou↑↑"" (経験値速上々↑↑) (Minami-ke: Okaeri theme song, with Rina Satou and Minori Chihara)
",228,== Discography == | === Other songs ===
"""Zettai Colorful Sengen"""" (絶対カラフル宣言) (Minami-ke: Okaeri ending theme, with Rina Satou and Minori Chihara)
",229,== Discography == | === Other songs ===
"""Love Diving"" (ラブダイビング) (Akane-iro ni Somaru Saka ending theme)
",230,== Discography == | === Other songs ===
"""Four season's memory"" (Akane-iro ni Somaru Saka ending theme)
",231,== Discography == | === Other songs ===
"""trust"" (Tales Of Hearts )
",232,== Discography == | === Other songs ===
"""Kimi ni, Mune Kyun"" (君に、胸キュン) (Maria Holic ending theme, with Yu Kobayashi and Asami Sanada)
",233,== Discography == | === Other songs ===
"""Get a Chance!"" (Mahou Sensei Negima! ~Mou Hitotsu no Sekai~ ending theme, with Rina Satou)
",234,== Discography == | === Other songs ===
"""Dokkyûn☆Heart"" (Umineko no Naku Koro ni, Jessica Ushiromiya theme song, insert song (ep. II-I)
",235,== Discography == | === Other songs ===
"""One Way Ryou Omoi"" (ワンウェイ両想い) (Kämpfer ending theme, with Megumi Nakajima)
",236,== Discography == | === Other songs ===
"""Sekirei"" (Sekirei opening theme, with Saori Hayami, Hanazawa Kana & Aya Endō)
",237,== Discography == | === Other songs ===
"""Dear Sweet Heart"" (Sekirei ending theme, with Saori Hayami, Hanazawa Kana & Aya Endō)
",238,== Discography == | === Other songs ===
"""Hakuyoku no Sekiyaku ~Pure Engagement~"" (Sekirei ~Pure Engagement~ opening theme, with Saori Hayami, Hanazawa Kana & Aya Endō)
",239,== Discography == | === Other songs ===
"""Onnaji Kimochi"" (Sekirei ~Pure Engagement~ ending theme, with Saori Hayami, Hanazawa Kana & Aya Endō)
",240,== Discography == | === Other songs ===
"""The Regrettable Neighbours Club"" (Boku wa Tomodachi ga Sukunai opening theme, with Kanae Itō, Nozomi Yamamoto, Misato Fukuen, Kana Hanazawa, and Yuka Iguchi)
",241,== Discography == | === Other songs ===
"""My Feelings"" (Boku wa Tomodachi ga Sukunai ending theme.)
",242,== Discography == | === Other songs ===
"""Be My Friend"" (Boku wa Tomodachi ga Sukunai NEXT opening theme, with Kanae Itō, Nozomi Yamamoto, Misato Fukuen, Kana Hanazawa, and Yuka Iguchi)
",243,== Discography == | === Other songs ===
"""Bokura no Tsubasa"" (Boku wa Tomodachi ga Sukunai NEXT ending theme.)
",244,== Discography == | === Other songs ===
"""Yakusoku no Umi"" (Uragiri wa Boku no Namae wo Shitteiru with Jun Fukuyama)
",245,== Discography == | === Other songs ===
"""Shiawase High Tension"" (シアワセ☆ハイテンション↑↑) (Minami-ke: Tadaima theme song, with Rina Satou and Minori Chihara)
",246,== Discography == | === Other songs ===
"""Wan Wan Wan Wan N_1!!"" (わんわんわんわんN_1！！) (Inu to Hasami wa Tsukaiyou theme song, with Kazuhito Harumi, Kirihime Natsuno, Asumi Kana, Itou Shizuka, Ai Kakuma and Yu Serizawa) and *Far Away (Attack on Titan Character Image Song) Released May,2017
",247,== Discography == | === Other songs ===
"""Mathemagics"" (Owarimonogatari opening theme)
",248,== Discography == | === Other songs ===
"""Yuudachi Houteishiki (夕立方程式"") (Owarimonogatari opening theme)
",249,== Discography == | === Other songs ===
"== References ==
",250,== References ==
"== External links ==
",251,== External links ==
"Official agency profile (in Japanese)
",252,== External links ==
"Seiyuu Info
",253,== External links ==
"Marina Inoue at Hitoshi Doi's Seiyuu Database
",254,== External links ==
"Marina Inoue  at Anime News Network's encyclopedia
",255,== External links ==
"Marina Inoue at IMDb
",256,== External links ==
Marina Inoue discography at MusicBrainz,257,== External links ==
