types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmericanTelevisionSpecials,http://dbpedia.org/resource/Bob_Hope_television_specials,Bob Hope television specials,17,435,1.0,0.0,9,7,== Life and work == | === Career ===
http://dbpedia.org/class/yago/WikicatChristmasCarols,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/WikicatChristmasSongs,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Carol107035747,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/FolkMusic107060167,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/FolkSong107050952,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Hymn107035870,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/PopularMusic107059255,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/ReligiousMusic107033007,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/ReligiousSong107035420,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/WikicatRuralLocalitiesInTheUdmurtRepublic,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/Section108648322,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
http://dbpedia.org/class/yago/Vicinity108641113,http://dbpedia.org/resource/Kez,KEZ,2,163,0.9999989978944844,0.0,11,18,== Life and work == | === Later career ===
