types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/WikicatVilniusUniversityRectors,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://www.wikidata.org/entity/Q42603,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Clergyman109927451,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Curate109983572,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Linguist110264219,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Linguist110264437,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/SpiritualLeader109505153,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Translator110725280,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/WikicatPeopleFromVitebsk,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/WikicatPolishPoets,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/WikicatPolishTranslators,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/WikicatPolishWriters,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
