types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/WikicatReggaeFestivals,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/WikicatEventsInItaly,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/WikicatSummerFestivals,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Balanda_Boor_people,Balanda,10,208,0.9999993596165728,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Balanda_Boor_people,Balanda,10,208,0.9999993596165728,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Balanda_Boor_people,Balanda,10,208,0.9999993596165728,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/EthnicGroup107967382,http://dbpedia.org/resource/Balanda_Boor_people,Balanda,10,208,0.9999993596165728,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Balanda_Boor_people,Balanda,10,208,0.9999993596165728,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/WikicatEthnicGroupsInAfrica,http://dbpedia.org/resource/Balanda_Boor_people,Balanda,10,208,0.9999993596165728,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/WikicatEthnicGroupsInSouthSudan,http://dbpedia.org/resource/Balanda_Boor_people,Balanda,10,208,0.9999993596165728,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/WikicatAksumiteEmpirePeople,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/WikicatYemeniPeople,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
http://dbpedia.org/class/yago/WikicatEthiopianPeople,http://dbpedia.org/resource/Abraha,Abraha,135,232,0.9999999999999432,0.0,2,7,== Early life and career == | === 2020s ===
