types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHinduCommunities,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/People107942152,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Tribe108372411,http://dbpedia.org/resource/Dorla_people,Dorla,4,68,0.9999994258769732,0.0,5,3,== Biography == | === Early years ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/WikicatAmericanPerformersOfChristianMusic,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/WikicatChristianReligion-relatedSongwriters,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/WikicatRecordProducers,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Maker110284064,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Manufacturer110292316,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Songwriter110624540,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Morgan_Cryar,Morgan Cryar,10,0,0.9999999999999858,0.0,0,31,== Discography == | === Other contributions ===
